Sample	TP	FP	FN	Precision	Recall	F1-score
sim_30_150	706	1	219	0.9786	0.8032	0.8652
sim_30_300	779	0	152	0.9788	0.8367	0.9111
sim_30_450	792	1	142	0.9887	0.848	0.9172
sim_30_600	825	1	118	0.9888	0.8749	0.9327
sim_30_750	831	1	110	0.9988	0.8831	0.9374
sim_30_900	836	1	106	0.9988	0.8875	0.9399
sim_30_1050	814	1	108	0.9988	0.8829	0.9372
sim_50_150	726	0	229	0.9773	0.8002	0.8638
sim_50_300	778	0	153	0.9799	0.8357	0.9105
sim_50_450	802	1	140	0.9898	0.8514	0.9192
sim_50_600	821	0	126	0.9999	0.8669	0.9287
sim_50_750	841	0	115	1.0	0.8797	0.936
sim_50_900	824	2	107	1	0.8851	0.938
sim_50_1050	838	0	88	1.0	0.905	0.9501
sim_70_150	731	1	208	0.9786	0.8085	0.8749
sim_70_300	799	0	148	0.9799	0.8337	0.9152
sim_70_450	807	0	130	1.0	0.8513	0.9255
sim_70_600	803	1	119	0.9998	0.9009	0.9305
sim_70_750	834	1	100	0.9998	0.9129	0.9429
sim_70_900	836	2	114	0.9996	0.9222	0.9351
sim_70_1050	848	0	105	1.0	0.9298	0.9417
sim_90_150	733	0	199	0.9789	0.8250	0.8805
sim_90_300	781	0	165	0.9869	0.8256	0.9045
sim_90_450	815	0	115	1.0	0.9063	0.9341
sim_90_600	825	1	116	0.9988	0.9167	0.9338
sim_90_750	844	0	99	1.0	0.9180	0.9446
sim_90_900	803	0	111	1.0	0.9286	0.9354
sim_90_1050	844	0	95	1.0	0.9388	0.9467
sim_110_150	728	1	212	0.9700	0.825	0.8724
sim_110_300	803	1	150	0.9798	0.8426	0.9141
sim_110_450	801	0	135	0.9998	0.8858	0.9223
sim_110_600	831	0	116	1.0	0.9175	0.9348
sim_110_750	821	0	110	1.0	0.9218	0.9372
sim_110_900	831	2	110	1.0	0.9231	0.9369
sim_110_1050	835	1	98	1.0	0.955	0.944
