Gene_ID	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_1050	sim_50_300	sim_50_450	sim_50_750	sim_50_900	sim_70_150	sim_70_750	sim_70_900	sim_90_300	sim_90_450	sim_90_750	sim_110_300	sim_110_450	sim_110_750	sim_110_1050	sim_30_900	sim_50_150	sim_50_1050	sim_70_300	sim_70_450	sim_70_600	sim_70_1050	sim_90_150	sim_90_900	sim_110_150	sim_110_600	sim_50_600	sim_110_900	sim_90_600	sim_90_1050
ENSG00000005513.11	0.9778	0.9949	NA	0.9681	0.9851	0.9515	0.9927	0.9762	0.9954	0.9987	0.9915	0.9902	0.9961	0.9987	0.9821	NA	NA	0.9877	NA	0.9960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006015.18	0.9116	NA	NA	NA	0.9985	NA	NA	NA	NA	0.9654	NA	NA	0.9830	NA	NA	NA	NA	0.9460	NA	0.9929	NA	0.8967	0.8921	NA	0.9842	0.9842	0.9935	NA	0.9869	0.8855	0.9673	NA	NA	NA	NA
ENSG00000006128.12	0.9132	NA	NA	NA	NA	0.9554	0.9970	NA	0.9517	NA	0.8407	0.9211	0.9923	NA	NA	0.9853	0.9992	0.9761	0.9887	0.9706	0.9999	NA	0.9858	NA	NA	0.9584	0.9257	0.9883	0.9957	NA	0.9802	0.9951	0.9637	NA	NA
ENSG00000006327.14	0.9776	0.9629	0.9324	0.9206	0.9850	0.9262	0.9395	0.9612	0.9980	0.9951	0.9827	0.9630	0.9790	0.9880	0.9725	0.9607	0.9739	0.9877	NA	0.9755	0.9950	0.9523	0.9971	0.9928	0.9507	0.9652	0.9085	0.9650	0.9712	0.9891	0.9812	0.9761	0.9861	0.9805	0.9745
ENSG00000006377.11	0.9967	0.9972	0.9019	NA	NA	NA	0.9947	0.9841	0.9999	NA	NA	0.9915	0.9561	NA	0.9974	0.9979	NA	0.9995	0.9982	0.9985	0.8965	0.8333	0.9912	NA	0.9871	0.9903	NA	NA	0.9934	0.9106	NA	0.7664	NA	NA	NA
ENSG00000006659.13	0.9701	0.9931	0.9980	0.8862	0.9994	0.9349	0.9896	0.9648	0.9954	0.9993	0.9683	0.9782	0.9806	0.9271	0.9483	NA	0.9783	0.9962	NA	0.9909	0.9763	0.9610	0.9755	0.9652	0.9919	0.9994	1.0000	1.0000	0.9988	0.9580	0.9646	0.9947	0.9608	0.9995	0.9995
ENSG00000011009.11	0.8258	0.9682	NA	NA	0.9246	0.9504	0.9785	0.9944	0.9397	NA	NA	0.9709	0.8854	0.9022	0.9416	0.9974	0.9946	NA	NA	0.9655	0.8774	0.9334	0.9156	0.9699	0.9744	0.9716	0.9881	0.9120	NA	0.9595	0.9822	0.9907	NA	0.9968	0.9634
ENSG00000013392.8	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	NA	1.0000	1.0000	NA	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ENSG00000020129.16	0.9241	0.8742	0.9521	0.8996	0.9909	0.9863	0.9906	0.9774	0.9827	0.9325	0.9916	0.8389	0.9791	NA	0.9953	NA	0.9440	0.9037	NA	0.9050	0.9763	0.9328	0.8610	0.9867	NA	0.9920	0.9016	0.9816	0.9996	NA	0.9855	NA	0.9719	NA	0.9974
ENSG00000033100.17	0.9330	NA	0.9695	0.9978	0.9983	0.9891	0.9998	NA	0.9904	NA	NA	0.9929	0.9819	NA	0.9766	NA	0.9930	0.9905	NA	NA	NA	NA	NA	0.9948	NA	NA	0.9914	NA	0.9937	0.9609	0.9445	0.9911	NA	NA	0.9920
