Gene_ID	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_1050	sim_50_300	sim_50_450	sim_50_750	sim_50_900	sim_70_150	sim_70_750	sim_70_900	sim_90_300	sim_90_450	sim_90_750	sim_110_300	sim_110_450	sim_110_750	sim_110_1050	sim_30_900	sim_50_150	sim_50_1050	sim_70_300	sim_70_450	sim_70_600	sim_70_1050	sim_90_150	sim_90_900	sim_110_150	sim_110_600	sim_50_600	sim_110_900	sim_90_600	sim_90_1050
ENSG00000005513.11	0.0253	0.0133	0.0071	0.0189	0.0109	0.0202	0.0094	0.0136	0.0296	0.0071	0.0164	0.0175	0.0086	0.0335	0.0273	0.0105	0.0201	0.0160	NA	0.0162	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006015.18	0.0487	NA	0.0407	0.0480	0.0566	0.0383	NA	NA	NA	0.0931	0.0562	NA	0.0336	0.0415	NA	NA	0.0174	0.0332	NA	0.0574	0.0225	0.0888	0.0717	NA	0.0357	0.0480	0.0144	0.0217	0.0491	0.0606	0.0468	NA	NA	NA	NA
ENSG00000006128.12	0.0491	NA	NA	NA	0.0660	0.0589	0.0345	NA	0.0567	NA	0.0788	0.0784	0.0333	NA	NA	0.0400	0.0418	0.0561	0.0403	0.0277	0.0162	NA	0.0401	NA	NA	0.0714	0.0324	0.0517	0.0224	0.0584	0.0432	0.0595	0.0394	NA	NA
ENSG00000006327.14	0.0479	0.0367	0.0735	0.0624	0.0646	0.0658	0.0255	0.0333	0.0189	0.0457	0.0537	0.0389	0.0371	0.0287	0.0351	0.0552	0.0396	0.0256	NA	0.0499	0.0670	0.0732	0.0621	0.0192	0.0610	0.0375	0.0608	0.0798	0.0312	0.0404	0.0490	0.0626	0.0603	0.0338	0.0198
ENSG00000006377.11	0.0888	0.0782	0.0472	NA	NA	NA	0.0571	0.0490	0.0465	NA	NA	0.0588	0.1002	NA	0.0578	0.0545	NA	0.0445	0.0465	0.0338	0.0642	0.0473	0.0696	NA	0.1089	0.0391	NA	NA	0.0546	0.0420	NA	0.0565	NA	NA	NA
ENSG00000006659.13	0.0726	0.1166	0.0282	0.1112	0.1032	0.1056	0.1075	0.0734	0.0344	0.1145	0.0525	0.1253	0.0758	0.0721	0.0781	NA	0.0460	0.0678	NA	0.0784	0.0598	0.1096	0.1251	0.0565	0.0083	0.0898	0.0444	0.1271	0.0731	0.0947	0.1049	0.0780	0.0642	0.0983	0.0672
ENSG00000011009.11	0.0899	0.0357	0.0234	0.1250	0.0953	0.0271	0.0615	0.0424	0.0636	0.0371	0.0398	0.0419	0.0936	0.0562	0.0364	0.0233	0.0193	0.0311	NA	0.0985	0.0732	0.0721	0.0702	0.0441	0.0288	0.0717	0.0361	0.1054	0.0546	0.0390	0.0873	0.0459	0.0216	0.0228	0.0270
ENSG00000013392.8	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	NA	0.0000	0.0000	NA	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
ENSG00000020129.16	0.0431	0.1357	0.0392	0.1085	0.0237	0.0261	NA	0.1869	0.0260	0.0286	0.0817	0.1373	0.0584	0.0176	0.0429	NA	0.1258	0.1950	NA	0.2399	0.0396	0.0397	0.0419	0.0514	0.0342	0.0242	0.1296	0.1949	0.0114	0.0286	0.0354	0.0793	0.0433	NA	0.0229
ENSG00000033100.17	0.0201	NA	0.0256	0.0137	0.0055	0.0145	NA	NA	0.0099	0.0056	NA	0.0111	0.0120	0.0127	0.0243	NA	0.0140	0.0100	NA	NA	0.0121	0.0131	NA	0.0253	NA	NA	0.0173	0.0113	0.0154	0.0247	0.0125	0.0111	0.0091	NA	0.0235
