Gene_ID	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_1050	sim_50_300	sim_50_450	sim_50_750	sim_50_900	sim_70_150	sim_70_750	sim_70_900	sim_90_300	sim_90_450	sim_90_750	sim_110_300	sim_110_450	sim_110_750	sim_110_1050	sim_30_900	sim_50_150	sim_50_1050	sim_70_300	sim_70_450	sim_70_600	sim_70_1050	sim_90_150	sim_90_900	sim_110_150	sim_110_600	sim_50_600	sim_110_900	sim_90_600	sim_90_1050
ENSG00000005513.11	0.9458	0.9735	0.9991	0.7959	0.9908	1.0000	0.8966	0.8534	NA	0.9937	0.9652	0.7315	0.9300	0.9608	0.8367	1.0000	0.8526	0.9828	0.7529	0.7574	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000006015.18	NA	NA	0.9237	0.9941	0.9995	0.9980	NA	NA	NA	0.9834	0.9954	NA	0.7404	0.9646	NA	0.9756	0.9734	0.9117	0.8574	0.9977	0.7198	0.8046	0.9930	0.9275	0.9816	0.9999	0.9668	0.8855	0.9944	0.9463	0.9463	NA	NA	NA	NA
ENSG00000006128.12	0.9176	NA	NA	NA	0.9440	0.9273	0.8821	NA	0.8677	NA	0.9678	0.8955	0.9952	NA	NA	0.9982	1.0000	0.9681	0.7900	0.7518	0.9999	NA	0.9536	NA	NA	0.9070	0.8486	0.9940	0.9757	0.9651	0.9825	0.9961	0.8686	NA	NA
ENSG00000006327.14	0.9692	0.8059	0.8830	0.7503	0.7469	0.7660	0.9976	0.9116	0.9482	0.8466	0.9510	0.8428	0.8919	0.9660	0.9149	0.9132	0.9364	0.9159	0.9845	1.0000	0.7457	0.8557	0.9997	0.8221	0.7999	0.9942	0.9309	0.9630	0.9930	0.8818	0.9945	0.7984	0.9951	0.7896	0.7676
ENSG00000006377.11	NA	0.8218	0.8142	NA	NA	NA	0.9285	0.8069	0.9995	NA	NA	0.9989	0.9999	NA	0.9495	0.7092	NA	0.8049	0.9728	0.9296	0.9719	0.7334	0.9589	NA	0.9965	0.9982	NA	NA	0.9929	0.6365	NA	0.9982	NA	NA	NA
ENSG00000006659.13	NA	1.0000	1.0000	0.9999	0.9931	0.9845	0.9802	0.9059	0.9606	1.0000	0.9867	0.9272	0.9903	1.0000	0.9878	0.9941	0.9841	0.9702	0.9262	1.0000	0.9761	0.9264	0.9992	1.0000	0.9897	0.9834	1.0000	1.0000	1.0000	0.9982	0.9598	0.9330	0.7099	0.9950	0.9723
ENSG00000011009.11	1.0000	0.8978	0.7094	NA	0.8177	0.9791	0.9391	0.9803	NA	0.9846	0.9287	NA	0.9999	0.8644	1.0000	0.9753	1.0000	1.0000	0.9991	1.0000	NA	0.9490	0.7927	0.9987	0.9972	0.9512	1.0000	1.0000	0.9136	0.9702	0.9312	1.0000	NA	0.9794	0.9923
ENSG00000013392.8	NA	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000
ENSG00000020129.16	0.9199	0.8727	0.6262	0.9538	0.9904	0.9240	1.0000	0.9718	0.9557	0.9928	0.9236	0.8967	0.9829	NA	1.0000	0.9363	0.9911	0.9923	0.8518	0.9899	0.9261	0.8982	0.9765	0.8882	1.0000	0.7207	0.8353	0.9975	1.0000	0.9465	0.6871	0.9846	0.9434	0.9884	0.9269
ENSG00000033100.17	0.9832	NA	0.9443	0.9637	0.8303	0.9503	0.9166	NA	0.9747	0.9292	NA	0.8500	0.7052	0.9002	0.7558	0.8586	0.9465	0.7110	0.9940	NA	0.9135	0.9701	NA	0.8516	NA	NA	0.8374	0.8955	0.8915	0.9335	0.9703	0.8923	0.9577	NA	0.8665
