software	rnaseq_depth	value
cufflinks	150.0	38.0
cufflinks	300.0	77.0
cufflinks	450.0	103.0
cufflinks	600.0	135.0
cufflinks	750.0	153.0
cufflinks	900.0	155.0
cufflinks	1050.0	179.0
invas	150.0	23.0
invas	300.0	32.0
invas	450.0	32.0
invas	600.0	36.0
invas	750.0	36.0
invas	900.0	39.0
invas	1050.0	39.0
stringtie	150.0	39.0
stringtie	300.0	77.5
stringtie	450.0	105.0
stringtie	600.0	136.0
stringtie	750.0	154.0
stringtie	900.0	155.0
stringtie	1050.0	178.0
trinity	150.0	161.0
trinity	300.0	399.0
trinity	450.0	556.0
trinity	600.0	752.0
trinity	750.0	973.0
trinity	900.0	899.5
trinity	1050.0	1038.5
