software	rnaseq_depth	value
cufflinks	150.0	38.0
cufflinks	300.0	77.0
cufflinks	450.0	108.5
cufflinks	600.0	153.0
cufflinks	750.0	196.0
cufflinks	900.0	208.0
cufflinks	1050.0	261.0
invas	150.0	23.0
invas	300.0	35.0
invas	450.0	41.0
invas	600.0	53.0
invas	750.0	65.5
invas	900.0	76.0
invas	1050.0	90.0
stringtie	150.0	39.0
stringtie	300.0	77.5
stringtie	450.0	109.0
stringtie	600.0	153.5
stringtie	750.0	197.5
stringtie	900.0	212.0
stringtie	1050.0	261.0
trinity	150.0	161.0
trinity	300.0	399.0
trinity	450.0	556.5
trinity	600.0	781.0
trinity	750.0	1054.5
trinity	900.0	1097.0
trinity	1050.0	1374.5
