software	rnaseq_depth	value
cufflinks	150.0	2.99
cufflinks	300.0	2.9450000000000003
cufflinks	450.0	2.61
cufflinks	600.0	2.87
cufflinks	750.0	2.93
cufflinks	900.0	2.63
cufflinks	1050.0	2.85
invas	150.0	1.63
invas	300.0	1.15
invas	450.0	0.865
invas	600.0	0.84
invas	750.0	0.78
invas	900.0	0.82
invas	1050.0	0.74
stringtie	150.0	3.06
stringtie	300.0	2.97
stringtie	450.0	2.635
stringtie	600.0	2.89
stringtie	750.0	2.94
stringtie	900.0	2.65
stringtie	1050.0	2.87
trinity	150.0	11.53
trinity	300.0	13.7
trinity	450.0	12.645
trinity	600.0	13.27
trinity	750.0	13.934999999999999
trinity	900.0	12.27
trinity	1050.0	13.265
