software	rnaseq_depth	value
cufflinks	150.0	97.0
cufflinks	300.0	97.045
cufflinks	450.0	97.38
cufflinks	600.0	97.12
cufflinks	750.0	97.06
cufflinks	900.0	97.36
cufflinks	1050.0	97.14
invas	150.0	98.36
invas	300.0	98.84
invas	450.0	99.12
invas	600.0	99.14500000000001
invas	750.0	99.21
invas	900.0	99.17
invas	1050.0	99.25
stringtie	150.0	96.93
stringtie	300.0	97.02
stringtie	450.0	97.35499999999999
stringtie	600.0	97.1
stringtie	750.0	97.05
stringtie	900.0	97.34
stringtie	1050.0	97.12
trinity	150.0	88.46
trinity	300.0	86.29
trinity	450.0	87.345
trinity	600.0	86.72
trinity	750.0	86.055
trinity	900.0	87.72
trinity	1050.0	86.725
