software	rnaseq_depth	value
cufflinks	150.0	96.59
cufflinks	300.0	96.67
cufflinks	450.0	97.035
cufflinks	600.0	96.7
cufflinks	750.0	96.745
cufflinks	900.0	96.99
cufflinks	1050.0	96.71000000000001
invas	150.0	97.95
invas	300.0	98.49
invas	450.0	98.845
invas	600.0	98.85
invas	750.0	98.92
invas	900.0	98.88
invas	1050.0	98.93
stringtie	150.0	96.53
stringtie	300.0	96.66
stringtie	450.0	96.93
stringtie	600.0	96.71
stringtie	750.0	96.73
stringtie	900.0	96.97
stringtie	1050.0	96.68
trinity	150.0	88.18
trinity	300.0	85.945
trinity	450.0	86.94
trinity	600.0	86.405
trinity	750.0	85.63
trinity	900.0	87.29
trinity	1050.0	86.28
