software	rnaseq_depth	value
cufflinks	150.0	100.0
cufflinks	300.0	100.0
cufflinks	450.0	100.0
cufflinks	600.0	100.0
cufflinks	750.0	100.0
cufflinks	900.0	100.0
cufflinks	1050.0	100.0
invas	150.0	98.02
invas	300.0	97.76
invas	450.0	97.88
invas	600.0	97.75
invas	750.0	97.91
invas	900.0	97.8
invas	1050.0	97.86500000000001
stringtie	150.0	100.0
stringtie	300.0	100.0
stringtie	450.0	100.0
stringtie	600.0	100.0
stringtie	750.0	100.0
stringtie	900.0	100.0
stringtie	1050.0	100.0
trinity	150.0	96.88
trinity	300.0	96.95
trinity	450.0	97.08
trinity	600.0	96.845
trinity	750.0	96.92
trinity	900.0	96.79
trinity	1050.0	96.93
