software	rnaseq_depth	value
cufflinks	150.0	100.0
cufflinks	300.0	100.0
cufflinks	450.0	100.0
cufflinks	600.0	100.0
cufflinks	750.0	100.0
cufflinks	900.0	100.0
cufflinks	1050.0	100.0
invas	150.0	97.71
invas	300.0	97.57
invas	450.0	97.7
invas	600.0	97.58
invas	750.0	97.725
invas	900.0	97.65
invas	1050.0	97.75
stringtie	150.0	100.0
stringtie	300.0	100.0
stringtie	450.0	100.0
stringtie	600.0	100.0
stringtie	750.0	100.0
stringtie	900.0	100.0
stringtie	1050.0	100.0
trinity	150.0	96.65
trinity	300.0	96.775
trinity	450.0	96.88499999999999
trinity	600.0	96.68
trinity	750.0	96.7
trinity	900.0	96.55
trinity	1050.0	96.77
