software	rnaseq_depth	value
cufflinks	150.0	0.03
cufflinks	300.0	0.02
cufflinks	450.0	0.03
cufflinks	600.0	0.02
cufflinks	750.0	0.03
cufflinks	900.0	0.03
cufflinks	1050.0	0.02
invas	150.0	100.0
invas	300.0	100.0
invas	450.0	100.0
invas	600.0	100.0
invas	750.0	100.0
invas	900.0	100.0
invas	1050.0	100.0
stringtie	150.0	100.0
stringtie	300.0	100.0
stringtie	450.0	100.0
stringtie	600.0	100.0
stringtie	750.0	100.0
stringtie	900.0	100.0
stringtie	1050.0	100.0
trinity	150.0	50.0
trinity	300.0	42.86
trinity	450.0	50.0
trinity	600.0	50.0
trinity	750.0	44.44
trinity	900.0	50.0
trinity	1050.0	50.0
