software	rnaseq_depth	value
cufflinks	150.0	66.67
cufflinks	300.0	66.67
cufflinks	450.0	66.67
cufflinks	600.0	66.67
cufflinks	750.0	66.67
cufflinks	900.0	66.67
cufflinks	1050.0	66.67
invas	150.0	83.33
invas	300.0	83.33
invas	450.0	83.33
invas	600.0	83.33
invas	750.0	83.33
invas	900.0	83.33
invas	1050.0	83.33
stringtie	150.0	66.67
stringtie	300.0	66.67
stringtie	450.0	66.67
stringtie	600.0	66.67
stringtie	750.0	66.67
stringtie	900.0	66.67
stringtie	1050.0	66.67
trinity	150.0	50.0
trinity	300.0	60.0
trinity	450.0	60.0
trinity	600.0	60.0
trinity	750.0	60.0
trinity	900.0	60.0
trinity	1050.0	60.0
