Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	5.97	na	9.84	34.72	23.40	58.48	21.11	24.10	na	40.49	36.88	na	33.79	28.06	na	55.47	5.47	na	na	86.80	na	2.38	33.08	na	24.60	26.33	5.31	26.90	9.97	32.95	2.62	61.92	32.37	24.54	na
ENSG00000005513.11	5.80	na	1.21	.45	na	7.13	na	5.34	2.48	1.05	.21	.88	1.14	na	na	na	6.19	1.55	na	na	4.31	na	6.24	na	na	na	1.27	.91	na	na	.95	.54	na	2.11	na
ENSG00000006015.18	3.55	15.55	2.85	26.39	9.83	31.38	na	0	na	na	1.46	.33	8.16	0	2.23	11.45	na	na	na	na	8.82	20.11	0	16.83	16.83	37.02	na	4.30	na	11.08	2.83	na	na	0	50.82
ENSG00000006128.12	34.62	1.95	2.77	8.88	2.16	.99	43.55	10.50	7.64	na	na	na	2.21	1.47	3.05	na	48.72	na	12.72	32.08	na	32.12	13.36	na	na	4.34	10.43	4.49	na	2.93	na	na	na	6.14	38.30
ENSG00000006327.14	1.28	16.57	1.44	1.34	24.58	29.01	1.15	1.54	3.85	2.35	24.37	46.65	1.55	2.90	3.89	2.39	44.16	8.04	49.48	2.16	6.75	25.74	29.59	4.09	1.32	25.08	2.51	28.46	25.22	18.18	22.99	8.77	.95	22.48	3.07
ENSG00000006377.11	29.04	21.26	na	15.96	na	32.58	na	na	10.06	22.85	24.03	na	na	20.90	22.80	20.17	24.11	22.95	20.85	20.83	na	na	na	na	25.73	20.03	2.52	20.90	na	na	na	18.49	na	19.11	2.04
ENSG00000006659.13	60.73	54.25	49.35	54.14	50.09	40.52	34.66	3.40	22.62	4.00	6.13	4.18	3.11	57.43	41.17	6.23	2.87	54.97	2.82	34.37	3.50	1.16	26.19	64.35	46.97	2.57	5.60	4.86	38.41	3.18	64.83	12.28	2.74	7.43	3.54
ENSG00000011009.11	2.80	3.86	4.13	4.73	1.83	3.41	5.20	48.74	4.75	3.85	.32	2.72	4.99	4.86	1.05	3.90	4.07	43.87	4.55	5.44	26.28	4.54	1.35	11.40	1.47	2.22	10.04	2.37	55.16	31.55	3.09	46.15	3.32	.70	28.58
ENSG00000013392.8	3.76	3.64	3.65	4.46	3.71	3.76	4.09	3.85	1.06	4.01	3.71	3.75	3.66	3.64	4.09	4.25	4.53	3.95	3.89	3.75	3.71	3.86	4.17	4.34	3.75	4.79	3.55	3.92	4.01	3.48	3.91	3.90	4.03	3.69	3.83
ENSG00000020129.16	11.60	1.64	1.78	7.49	6.85	2.91	11.37	2.38	.68	14.91	1.81	7.45	10.76	2.53	14.65	20.15	3.52	13.83	1.90	1.33	7.98	6.93	20.22	2.25	2.20	1.49	11.03	13.29	2.00	10.17	2.12	3.17	3.17	23.17	4.08
