Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000004059.11	0.05%	na	0.05%	0.05%	0.05%	na	0.05%	0.05%	na	0.05%	0.05%	na	0.05%	0.05%	na	0.05%	0.05%	na	na	0.05%	na	0.05%	0.05%	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	na
ENSG00000005513.11	0.05%	na	0.05%	0.05%	na	na	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	na	na	na	0.05%	0.05%	na	0.05%	0.05%	na	0.05%	na	na	na	0.05%	0.05%	na	na	0.05%	0.05%	na	na
ENSG00000006015.18	0.06%	0.06%	0.06%	0.06%	0.06%	na	na	0.06%	0.06%	na	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	na	na	na	na	0.06%	0.06%	0.06%	na	0.06%	0.06%	na	0.06%	na	0.06%	0.06%	na	na	0.06%
ENSG00000006128.12	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	na	na	na	0.04%	0.04%	0.04%	na	0.04%	na	0.04%	0.04%	na	0.04%	0.04%	na	na	0.04%	0.04%	0.04%	na	0.04%	na	na	na	0.04%
ENSG00000006327.14	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%
ENSG00000006377.11	0.02%	0.02%	na	0.02%	na	0.02%	na	na	0.02%	0.02%	0.02%	na	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	na	na	na	na	0.02%	0.02%	0.02%	0.02%	na	na	na	0.02%	na	0.02%
ENSG00000006659.13	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000011009.11	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%
ENSG00000013392.8	0.01%	0.02%	0.01%	0.01%	0.01%	na	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.02%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
ENSG00000020129.16	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%
ENSG00000026025.16	0.08%	0.08%	0.08%	0.08%	na	na	na	0.08%	na	na	0.08%	0.08%	0.08%	na	0.08%	na	0.08%	na	na	0.08%	na	0.08%	0.08%	na	na	0.08%	0.08%	0.08%	na	0.08%	na	na	0.08%	na
ENSG00000033100.17	na	0.07%	0.07%	0.07%	0.07%	na	0.07%	0.07%	0.07%	na	0.07%	0.07%	0.07%	0.07%	na	0.07%	na	na	0.07%	0.07%	0.07%	0.07%	na	0.07%	na	na	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	na	0.07%
ENSG00000034510.6	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
ENSG00000037042.9	0.02%	0.02%	na	na	0.02%	na	na	0.02%	na	na	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	na	na	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	na	0.02%
ENSG00000037757.14	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%
ENSG00000039987.7	na	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	na	na	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	na	0.03%	0.03%	0.03%	na	na	0.03%
ENSG00000041880.15	0.07%	na	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%	na	0.07%	0.07%	0.07%	0.07%	0.07%	0.07%
ENSG00000043355.12	0.04%	na	0.04%	na	0.04%	na	0.04%	0.04%	na	na	0.04%	na	na	na	na	na	na	na	na	0.04%	na	0.04%	0.04%	na	na	na	na	0.04%	na	0.04%	na	0.04%	0.04%	0.04%
ENSG00000044012.4	0.01%	0.01%	0.01%	0.01%	0.01%	na	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
ENSG00000048462.11	na	na	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	na	na	na	na	na	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%
ENSG00000048545.18	0.03%	0.02%	0.02%	0.02%	0.02%	na	0.03%	0.02%	0.03%	0.02%	0.03%	0.03%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.03%	0.02%	0.02%	0.02%	0.02%	0.02%	0.03%	0.03%	0.03%	0.03%	0.02%	0.02%	0.02%	0.03%	0.02%
ENSG00000053372.5	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000053438.11	0.03%	na	0.03%	0.03%	0.03%	na	na	0.03%	na	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	na	na	0.03%	na	na	na	0.03%	na	na	na	0.03%	0.03%	na	na	na	0.03%	na	na
ENSG00000053501.14	0.06%	0.06%	0.06%	0.06%	0.06%	na	0.06%	0.06%	0.06%	0.07%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.07%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%
ENSG00000054148.18	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	na	0.04%	0.04%	0.04%	0.04%	na	0.04%	na	0.04%	0.04%	0.04%	0.04%	na	0.04%	0.04%	0.04%	na	0.04%	0.04%	0.04%	0.04%	na	na	0.04%	0.04%	0.04%	0.04%
ENSG00000057757.10	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000060491.17	0.02%	0.02%	0.03%	0.02%	0.02%	na	0.02%	0.03%	0.02%	0.02%	0.02%	0.02%	0.03%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.03%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000061492.12	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%
ENSG00000061656.11	0.06%	0.07%	0.06%	0.06%	0.06%	na	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%
ENSG00000063322.15	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%
ENSG00000065518.8	0.05%	na	0.05%	0.05%	0.05%	na	na	na	na	na	na	na	0.05%	na	0.05%	na	0.05%	na	na	0.05%	na	na	na	na	na	na	na	0.05%	0.05%	na	0.05%	na	0.05%	na
ENSG00000066379.15	0.04%	0.04%	0.04%	na	na	na	0.04%	na	0.04%	na	0.04%	0.04%	0.04%	0.04%	na	0.04%	na	0.04%	na	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%	0.04%
ENSG00000068079.8	0.06%	0.06%	0.06%	na	0.06%	na	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	na	na	0.06%	na	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%	0.06%
ENSG00000069482.7	na	na	na	0.02%	0.02%	na	na	0.02%	na	na	na	0.02%	na	0.02%	na	na	na	na	na	na	0.02%	0.02%	na	na	0.02%	na	0.02%	na	0.02%	0.02%	0.02%	0.02%	na	na
ENSG00000069696.7	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000070388.12	na	na	na	na	0.02%	na	na	0.02%	0.02%	0.02%	na	0.02%	0.02%	na	na	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	na	na	na	0.02%	na	na	0.02%	0.02%	0.02%	0.02%	na	0.02%
ENSG00000070404.10	0.05%	0.06%	0.06%	0.05%	0.06%	na	0.05%	na	0.05%	0.05%	0.05%	na	0.06%	0.05%	na	0.05%	na	na	0.05%	na	na	na	na	na	0.06%	0.05%	na	0.05%	0.06%	na	na	0.06%	na	0.05%
ENSG00000071859.15	na	0.05%	0.05%	na	0.06%	na	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	na	0.05%	na	na	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	0.05%	na	0.05%	0.05%	na	0.06%	na	na	0.05%
ENSG00000073067.14	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	na	0.03%	0.03%	na	na	0.03%	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	0.03%	0.03%	0.03%	0.03%	0.03%	na	0.03%	na	0.03%
ENSG00000073150.14	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000073598.6	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
ENSG00000077009.14	0.02%	0.02%	0.02%	0.02%	0.02%	na	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%	0.02%
ENSG00000078401.7	0.01%	0.01%	0.01%	0.01%	0.01%	na	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%	0.01%
