Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	97.02%	na	80.36%	67.09%	88.65%	53.47%	63.69%	64.80%	na	63.32%	63.26%	na	59.48%	69.00%	na	51.09%	93.13%	na	na	54.98%	na	99.98%	67.90%	na	68.49%	61.67%	85.71%	69.99%	95.97%	62.31%	99.45%	53.19%	61.57%	68.01%	na
ENSG00000005513.11	46.59%	na	81.82%	100.00%	na	43.48%	na	99.99%	42.32%	99.95%	99.99%	100.00%	99.98%	na	na	na	50.61%	99.96%	na	na	76.17%	na	49.92%	na	na	na	99.99%	100.00%	na	na	99.99%	99.96%	na	99.96%	na
ENSG00000006015.18	99.92%	48.51%	84.48%	53.29%	58.82%	37.08%	na	93.65%	na	na	83.09%	99.98%	70.94%	91.12%	76.62%	64.92%	na	na	na	na	55.89%	38.23%	93.64%	71.76%	56.89%	32.98%	na	61.71%	na	83.50%	78.28%	na	na	93.65%	26.63%
ENSG00000006128.12	60.98%	83.57%	81.14%	82.08%	90.86%	82.38%	63.56%	88.11%	92.80%	na	na	na	75.53%	78.94%	91.54%	na	66.76%	na	71.44%	59.65%	na	71.23%	78.96%	na	na	85.79%	78.80%	82.81%	na	90.64%	na	na	na	88.03%	53.41%
ENSG00000006327.14	95.84%	47.19%	87.65%	89.07%	56.98%	48.55%	99.91%	96.88%	90.17%	97.36%	57.69%	32.10%	87.63%	100.00%	72.07%	99.91%	45.69%	87.74%	28.42%	84.70%	96.76%	53.78%	51.82%	91.74%	83.63%	44.40%	97.34%	54.46%	51.95%	46.32%	51.15%	87.74%	91.72%	52.51%	96.88%
ENSG00000006377.11	51.33%	44.93%	na	49.49%	na	46.89%	na	na	99.01%	51.88%	40.18%	na	na	51.80%	51.65%	45.21%	45.35%	51.50%	44.72%	50.17%	na	na	na	na	50.27%	50.87%	51.45%	58.39%	na	na	na	55.55%	na	41.77%	51.08%
ENSG00000006659.13	52.37%	55.05%	55.24%	55.14%	57.95%	56.74%	67.54%	85.51%	91.98%	99.90%	65.11%	96.71%	100.00%	44.09%	58.05%	86.81%	99.94%	55.14%	95.98%	67.54%	100.00%	100.00%	73.74%	40.08%	72.91%	99.90%	85.51%	100.00%	67.38%	100.00%	40.08%	79.68%	99.85%	87.93%	100.00%
ENSG00000011009.11	96.68%	82.44%	90.43%	97.75%	91.01%	91.66%	92.30%	58.06%	78.52%	94.11%	92.59%	96.17%	87.76%	94.83%	92.48%	92.99%	94.20%	72.72%	96.76%	99.82%	60.47%	90.97%	78.67%	91.04%	92.98%	95.87%	93.09%	93.26%	34.58%	52.09%	91.62%	39.62%	92.03%	91.89%	48.50%
ENSG00000013392.8	50.33%	50.32%	50.32%	50.32%	50.29%	50.29%	50.33%	50.33%	97.69%	50.32%	50.33%	50.33%	50.33%	50.33%	50.33%	50.27%	50.33%	50.33%	50.32%	50.32%	50.32%	50.32%	50.29%	50.31%	50.32%	50.33%	50.33%	50.32%	50.33%	50.27%	50.33%	50.31%	50.32%	50.33%	50.32%
ENSG00000020129.16	42.82%	84.98%	66.19%	50.37%	51.59%	76.95%	44.99%	69.27%	87.01%	43.06%	81.07%	37.04%	40.36%	77.84%	33.35%	35.55%	62.77%	44.74%	76.79%	73.10%	41.87%	50.55%	43.96%	77.88%	68.89%	81.19%	39.43%	38.85%	66.29%	40.61%	64.81%	65.62%	85.98%	39.83%	64.01%
ENSG00000026025.16	43.95%	58.30%	51.18%	71.75%	na	53.57%	na	68.79%	na	na	40.61%	72.29%	51.93%	na	56.89%	na	73.31%	na	na	76.81%	na	83.96%	70.70%	na	na	73.43%	69.94%	66.92%	na	61.34%	na	na	72.00%	70.90%	na
ENSG00000033100.17	na	28.78%	85.44%	86.77%	76.72%	49.92%	87.96%	78.68%	84.14%	na	33.21%	88.28%	64.10%	85.11%	na	67.94%	86.53%	na	62.16%	82.62%	72.56%	77.69%	na	34.96%	na	na	78.91%	61.12%	38.82%	50.22%	78.43%	35.43%	na	69.59%	83.39%
