Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000004059.11	95.99%	na	92.54%	100.00%	95.55%	na	95.55%	95.55%	na	100.00%	100.00%	na	93.75%	100.00%	na	96.80%	100.00%	na	na	100.00%	na	90.58%	100.00%	na	93.68%	95.55%	92.25%	100.00%	95.68%	96.17%	95.61%	100.00%	95.60%	na
ENSG00000005513.11	98.65%	na	99.03%	99.88%	na	na	na	99.88%	99.88%	98.65%	99.88%	98.65%	98.65%	na	na	na	98.65%	99.88%	na	99.88%	98.65%	na	98.65%	na	na	na	99.88%	99.88%	na	na	98.65%	99.88%	na	na
ENSG00000006015.18	99.96%	99.96%	99.96%	97.53%	97.28%	na	na	97.27%	99.96%	na	99.96%	97.69%	99.96%	97.83%	99.96%	97.86%	na	na	na	na	97.83%	97.39%	97.71%	na	99.96%	99.96%	na	98.12%	na	99.96%	99.96%	na	na	99.96%
ENSG00000006128.12	99.92%	99.92%	99.92%	99.92%	99.92%	95.00%	99.92%	99.92%	99.92%	na	na	na	99.92%	99.92%	99.92%	na	99.92%	na	99.92%	99.92%	na	99.92%	99.92%	na	na	99.92%	99.92%	99.92%	na	99.92%	na	na	na	99.92%
ENSG00000006327.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000006377.11	100.00%	100.00%	na	100.00%	na	100.00%	na	na	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	na	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	100.00%
ENSG00000006659.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	96.03%	100.00%	100.00%	100.00%	95.96%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	95.90%	100.00%	100.00%	100.00%	96.03%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000011009.11	99.35%	99.28%	99.28%	98.88%	99.41%	na	98.55%	98.03%	96.60%	99.41%	99.35%	99.35%	99.35%	99.35%	99.46%	99.11%	97.71%	97.97%	99.35%	99.35%	99.07%	99.28%	98.70%	99.41%	98.37%	98.24%	97.71%	99.35%	98.67%	99.24%	98.57%	97.90%	99.07%	99.41%
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000020129.16	93.04%	98.51%	94.90%	94.68%	89.56%	na	96.17%	97.05%	96.59%	94.00%	92.28%	94.01%	96.65%	99.25%	91.05%	93.56%	na	91.53%	96.92%	92.44%	93.22%	90.84%	97.19%	99.25%	95.35%	98.70%	94.36%	97.71%	96.34%	89.61%	94.99%	96.18%	na	94.15%
ENSG00000026025.16	95.44%	94.22%	99.28%	93.53%	na	na	na	98.69%	na	na	96.75%	100.00%	93.41%	na	96.35%	na	98.80%	na	na	98.24%	na	98.26%	98.03%	na	na	99.30%	96.43%	99.39%	na	97.45%	na	na	96.41%	na
ENSG00000033100.17	na	94.05%	98.89%	92.09%	93.82%	na	95.79%	96.46%	98.97%	na	97.02%	99.07%	98.89%	98.89%	na	98.89%	na	na	96.15%	96.43%	96.74%	91.29%	na	98.89%	na	na	98.89%	96.43%	98.89%	94.46%	96.32%	96.42%	na	94.55%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	81.87%	98.52%	na	na	82.67%	na	na	93.17%	na	na	97.27%	92.31%	na	84.34%	100.00%	99.78%	92.50%	91.40%	95.43%	91.25%	87.43%	na	na	85.03%	100.00%	83.53%	91.72%	na	84.94%	100.00%	91.82%	96.60%	na	87.48%
ENSG00000037757.14	99.74%	99.70%	99.77%	99.77%	99.74%	99.74%	99.74%	99.80%	98.22%	99.74%	99.77%	99.74%	99.77%	99.80%	99.77%	99.70%	99.70%	99.70%	99.70%	99.74%	99.77%	99.77%	99.74%	99.74%	99.77%	99.77%	99.77%	99.80%	99.82%	99.74%	99.77%	99.74%	99.77%	99.74%
ENSG00000039987.7	na	95.33%	94.92%	100.00%	95.31%	na	94.93%	95.31%	na	95.32%	95.34%	95.31%	95.31%	100.00%	na	100.00%	94.92%	na	na	91.86%	95.31%	94.92%	92.07%	95.31%	na	94.59%	95.31%	na	100.00%	100.00%	95.00%	na	na	95.31%
ENSG00000041880.15	99.98%	na	98.73%	97.49%	99.98%	98.63%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	97.40%	99.98%	99.98%	99.98%	98.58%	98.59%	98.58%	99.98%	99.98%	97.70%	99.98%	99.98%	na	99.98%	99.98%	99.98%	98.58%	98.61%	97.48%
