gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	46.67974	NA	48.32278	53.16456	40.11553	69.79346	60.63898	68.42661	NA	57.45856	59.88447	NA	61.90757	53.82114	NA	76.4294	56.97707	NA	NA	75.8427	NA	49.67012	60.76294	NA	53.50163	55.61149	62.23278	69.00625	37.00807	56.36743	49.55442	69.65517	64.60659	60.72398	NA
ENSG00000005513.11	45.48514	NA	36.23458	32.62767	NA	48.89931	NA	24.06246	53.91856	28.22412	22.71037	26.38503	27.39418	NA	NA	NA	45.46247	22.66107	NA	NA	44.55446	NA	46.13964	NA	NA	NA	28.87452	28.50952	NA	NA	27.38802	22.72003	NA	21.59901	NA
ENSG00000006015.18	43.22937	55.21728	35.85639	59.49542	40.0706	55.91308	NA	37.29696	NA	NA	35.14986	42.29272	52.40006	36.761	43.01665	40.05354	NA	NA	NA	NA	35.79506	52.14235	27.34177	41.4346	49.21136	58.86636	NA	32.04814	NA	44.26527	38.16054	NA	NA	37.29696	59.59993
ENSG00000006128.12	50.24941	43.27887	39.24205	38.46376	49.05231	47.03019	31.43025	42.38839	41.59311	NA	NA	NA	45.42611	53.61842	39.93372	NA	30.05978	NA	49.68153	57.54872	NA	30.4963	37.91881	NA	NA	37.39612	41.22095	51.19344	NA	49.31611	NA	NA	NA	42.37893	41.95847
ENSG00000006327.14	41.77919	62.18652	41.78973	45.2422	64.26434	62.01299	49.22162	45.07481	45.71782	45.76631	63.70597	65.45064	41.91274	47.92675	61.58574	49.3545	59.52	51.99596	65.26391	46.79952	52.15094	71.18644	62.47685	47.4985	57.19812	70.1012	44.25872	67.61711	67.21763	61.79806	69.02597	51.95658	47.48913	68.09053	43.57112
ENSG00000006377.11	33.7088	39.14034	NA	34.42047	NA	41.64887	NA	NA	28.3089	34.15536	38.72054	NA	NA	33.96226	33.68319	38.94449	39.37613	33.79989	37.95542	39.47646	NA	NA	NA	NA	38.83998	33.01476	31.06857	34.20402	NA	NA	NA	32.61815	NA	42.51453	30.66142
ENSG00000006659.13	47.83362	56.88202	72.04152	56.80224	68.13187	69.02655	59.74166	64.01807	61.41002	66.91395	57.31795	53.69337	66.96296	87.73585	68.20175	73.24066	67.06231	56.80224	66.92057	59.74166	62.65823	64.47106	68.32797	65.64885	76.32072	66.91395	64.01807	66.96296	59.87055	63.73391	65.64885	78.87389	67.01337	70.33629	62.48247
ENSG00000011009.11	39.87478	43.39927	42.28226	42.69697	40.60385	40.44486	39.06117	33.4467	33.7581	41.81854	38.37451	37.2798	49.8537	43.20025	39.4113	38.71686	41.21208	40.08397	39.04821	44.07025	35.95707	47.97669	42.89605	39.41793	38.6164	38.67312	41.91065	39.48063	58.73108	32.88364	37.67732	42.93759	39.71556	34.58686	43.40509
ENSG00000013392.8	29.73115	29.6599	29.73899	29.6599	29.67555	29.67555	29.73115	29.73115	12.47508	29.73899	29.73115	29.73115	29.73115	29.73115	29.73115	29.69121	29.73115	29.73115	29.6599	29.6599	29.73899	29.73899	29.67555	29.66772	29.73899	29.73115	29.73115	29.6599	29.73115	29.69121	29.73115	29.66772	29.6599	29.73115	29.6599
ENSG00000020129.16	51.51405	60.37999	63.0995	69.73222	59.70629	58.45579	49.43605	55.71763	55.42161	70.60404	61.759	67.82072	63.65734	57.41301	56.88641	54.46326	62.49935	67.24457	59.24912	63.15078	65.52259	70.89303	69.3261	60.24662	64.86597	59.85459	66.46221	64.3254	58.53958	63.11016	64.63023	63.92385	54.56113	65.49983	63.68519
ENSG00000026025.16	45.77465	67.26896	48.59257	60.71977	NA	50.47227	NA	54.37962	NA	NA	61.65049	41.74727	48.45147	NA	63.05519	NA	52.7216	NA	NA	49.37489	NA	53.80674	43.15535	NA	NA	53.92408	56.40223	52.77072	NA	50.79132	NA	NA	40.44752	48.5949	NA
ENSG00000033100.17	NA	39.6354	39.89875	31.23527	36.18906	47.42245	20.99349	32.00054	37.65773	NA	44.73975	42.87364	43.88163	37.42297	NA	38.82737	21.54251	NA	46.65744	35.25013	30.28664	38.80909	NA	43.18583	NA	NA	41.22468	41.57195	41.22112	43.19834	28.18879	55.64584	NA	49.04296	31.73915
ENSG00000034510.6	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	49.4577	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924	64.58924
