gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.41236	NA	0.36786	0.65688	0.51454	NA	0.36411	0.43217	NA	0.35115	0.60607	NA	0.52705	0.62101	NA	0.0	0.28403	NA	NA	0.44837	NA	0.42025	0.64963	NA	0.56475	0.47713	0.27883	0.61408	0.61278	0.22609	0.63746	0.56033	0.63319	NA	NA
ENSG00000005513.11	0.89711	NA	0.88828	0.39743	NA	NA	NA	0.91533	0.87068	0.24708	0.43287	0.46664	0.2454	NA	NA	NA	0.24381	0.41655	NA	0.41991	0.46178	NA	0.44414	NA	NA	NA	0.20597	0.20441	NA	NA	0.24975	0.42414	NA	0.41736	NA
ENSG00000006015.18	0.44558	0.61801	0.35217	0.67999	0.42515	NA	NA	0.26752	0.57657	NA	0.71515	0.36592	0.42357	0.39882	0.65613	0.59362	NA	NA	NA	NA	0.58533	0.44264	0.16989	NA	0.57456	0.47366	NA	0.66438	NA	0.34837	0.27034	NA	NA	NA	0.61838
ENSG00000006128.12	0.58262	0.78518	0.82469	0.8413	0.75108	0.11611	0.72626	0.83207	0.70321	NA	NA	NA	0.78449	0.81318	0.78612	NA	0.64823	NA	0.54283	0.77218	NA	0.73897	0.73527	NA	NA	0.75678	0.77419	0.81813	NA	0.85215	NA	NA	NA	0.74587	0.52896
ENSG00000006327.14	0.23672	0.43614	0.28815	0.43413	0.41152	NA	0.46062	0.29624	0.18114	0.40223	0.50729	0.40609	0.2793	0.48127	0.28578	0.41153	0.36166	0.39966	0.17719	0.35448	0.45778	0.5117	0.41447	0.24145	0.25594	0.41254	0.47769	0.49288	0.39931	0.58601	0.41485	0.33983	0.2635	0.28649	0.48663
ENSG00000006377.11	0.74547	0.6996	NA	0.47659	NA	0.82697	NA	NA	0.68894	0.72559	0.70201	NA	NA	0.69702	0.72201	0.72975	0.79564	0.76356	0.74145	0.77288	NA	NA	NA	NA	0.77869	0.68379	0.78472	0.8248	NA	NA	NA	0.79227	NA	0.70471	0.76771
ENSG00000006659.13	0.32432	0.18212	0.19899	0.27846	0.16552	NA	0.29086	0.25765	0.13638	0.2554	0.05163	0.27655	0.34647	0.18593	0.27772	0.23237	0.35728	0.24226	0.2323	0.29704	0.37059	0.51492	0.0821	0.19253	0.11223	0.27933	0.22339	0.22754	0.27707	0.24741	0.19112	0.21694	0.30254	NA	0.38391
ENSG00000011009.11	0.25573	0.40226	0.36758	0.30614	0.25626	NA	0.42196	0.38125	0.53773	0.17743	0.28955	0.27116	0.26829	0.23805	0.19298	0.53214	0.33148	0.26022	0.29593	0.25312	0.20357	0.39722	0.07593	0.32657	0.19756	0.11105	0.48061	0.27892	0.45408	0.28898	0.26109	0.29182	0.48695	0.40422	0.23758
ENSG00000013392.8	0.89345	0.83519	0.82508	0.92777	0.83571	NA	0.89014	0.89364	0.84024	0.82167	0.92526	0.88539	0.89352	0.89616	0.83081	0.83748	0.87656	0.89008	0.82355	0.89408	0.92459	0.83194	0.89747	0.82244	0.92823	0.83743	0.8964	0.92527	0.83047	0.89868	0.8406	0.92599	0.88377	NA	0.92427
ENSG00000020129.16	0.28887	0.87287	0.50873	0.33917	0.21659	NA	0.42205	0.48006	0.46245	0.43098	0.48478	0.84426	0.75572	0.45135	0.55876	0.32736	NA	0.14014	0.27801	0.8115	0.49808	0.53403	0.79127	0.8247	0.85025	0.47427	0.18933	0.7512	0.28117	0.16539	0.8332	0.24482	NA	NA	0.49217
ENSG00000026025.16	0.34613	0.24395	0.32521	0.12029	NA	NA	NA	0.20596	NA	NA	0.05901	0.4954	0.17549	NA	0.15691	NA	0.26242	NA	NA	0.24017	NA	0.24541	0.31369	NA	NA	0.28154	0.40282	0.41746	NA	0.2547	NA	NA	0.16283	NA	NA
ENSG00000033100.17	NA	0.43666	0.87003	0.6177	0.84872	NA	0.59499	0.86143	0.63727	NA	0.54857	0.84156	0.87266	0.89117	NA	0.85667	NA	NA	0.88661	0.85948	0.89373	0.44655	NA	0.77142	NA	NA	0.89729	0.87431	0.80354	0.86824	0.41403	0.82373	NA	NA	0.61618
ENSG00000034510.6	0.43894	0.46723	0.44701	0.4725	0.45216	0.44675	0.42538	0.50209	0.45633	0.45298	0.4529	0.44744	0.40467	0.41124	0.44566	0.48577	0.4623	0.43925	0.44847	0.40678	0.45651	0.43535	0.46941	0.45219	0.44927	0.45864	0.40125	0.41253	0.47675	0.41626	0.41023	0.43346	0.44648	0.4465	0.42685
ENSG00000037042.9	0.1265	0.36014	NA	NA	0.08779	NA	NA	0.31499	NA	NA	0.30896	0.21561	NA	0.11264	0.25872	0.30181	0.21811	0.20921	0.34999	0.12659	0.11762	NA	NA	0.06778	0.25518	0.08653	0.37244	NA	0.35391	0.23259	0.17386	0.38134	NA	0.13879	0.25356
ENSG00000037757.14	0.27514	0.85751	0.3134	0.18677	0.54533	0.41395	0.47855	0.36492	0.35266	0.53823	0.54744	0.27583	0.51267	0.2128	0.32911	0.74494	0.68195	0.82805	0.78994	0.52385	0.53255	0.58301	0.42287	0.50401	0.57748	0.53525	0.47743	0.51462	0.21318	0.45796	0.56216	0.43205	0.4938	0.54804	0.59302
ENSG00000039987.7	NA	0.0	0.77638	0.84778	0.84826	NA	0.84828	0.72257	NA	0.81514	0.84651	0.82828	0.85275	0.7517	NA	0.84596	0.78516	NA	NA	0.83718	0.82272	0.33212	0.82972	0.76749	NA	0.79359	0.78196	NA	0.82075	0.79625	0.34999	NA	NA	0.80819	0.81911
ENSG00000041880.15	0.5689	NA	0.4957	0.3807	0.4612	0.80873	0.514	0.74062	0.49689	0.84367	0.84096	0.80033	0.79387	0.8405	0.49656	0.28717	0.47238	0.81311	0.78255	0.51149	0.53049	0.70805	0.74818	0.52415	0.17872	0.81967	0.85213	NA	0.81941	0.83148	0.84331	0.51961	0.53624	0.29249	0.70573
ENSG00000043355.12	0.51533	NA	0.12343	NA	0.34303	NA	0.5826	0.64255	NA	NA	0.18775	NA	NA	NA	NA	NA	NA	NA	NA	0.52536	NA	0.4315	0.15269	NA	NA	NA	NA	0.25167	NA	0.37963	NA	0.45837	0.1778	NA	0.54216
ENSG00000044012.4	0.44032	0.40041	0.43092	0.41273	0.42919	NA	0.4119	0.36969	0.41556	0.44542	0.39499	0.43048	0.45268	0.41459	0.45538	0.0	0.47658	0.38229	0.34875	0.39413	0.41212	0.43658	0.46841	0.43132	0.46248	0.42619	0.41048	0.40732	0.38119	0.0	0.34414	0.11776	0.42625	0.4716	0.4063
