gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.48132	NA	0.23091	0.38375	0.4801	NA	0.43676	0.28691	NA	0.40326	0.41911	NA	0.39643	0.35296	NA	0.33404	0.26972	NA	NA	0.45968	NA	0.23909	0.33395	NA	0.44144	0.2315	0.37297	0.43695	0.51283	0.17605	0.28586	0.5136	0.37509	NA	NA
ENSG00000005513.11	0.50985	NA	NA	0.47651	NA	NA	NA	0.45736	0.90232	0.29347	NA	0.50103	0.29173	NA	NA	NA	0.28299	0.47102	NA	0.43453	0.49403	NA	0.49802	NA	NA	NA	0.24502	0.45836	NA	NA	0.29256	0.46931	NA	NA	NA
ENSG00000006015.18	0.41725	0.0	NA	0.7139	0.45419	NA	NA	NA	0.62786	NA	NA	NA	0.43494	NA	0.65895	0.4143	NA	NA	NA	NA	0.40184	0.41175	NA	NA	0.56789	0.46489	NA	0.35426	NA	NA	NA	NA	NA	NA	0.65756
ENSG00000006128.12	0.56423	NA	0.36611	0.8037	0.65044	0.31156	0.69111	0.73738	0.0	NA	NA	NA	NA	0.37871	0.71232	NA	0.63566	NA	0.56373	0.75972	NA	0.67735	0.0	NA	NA	0.63917	0.66213	0.74096	NA	0.71505	NA	NA	NA	0.71564	0.56342
ENSG00000006327.14	0.19917	0.60675	0.17865	0.52526	0.39913	NA	0.43655	0.28939	0.44331	0.58586	0.51853	0.44255	0.26132	0.47691	0.29969	0.28789	0.38832	0.4629	0.29523	0.36227	0.44847	0.45979	0.40239	0.25135	0.2644	0.35985	0.376	0.23883	0.42776	0.55158	0.42385	0.23837	0.3107	0.25509	0.46249
ENSG00000006377.11	0.81899	0.82073	NA	0.79184	NA	0.83701	NA	NA	0.0	0.0	0.8368	NA	NA	0.79844	0.79127	0.86588	0.87768	0.80674	0.8293	0.82671	NA	NA	NA	NA	0.7844	0.72722	0.84046	0.84162	NA	NA	NA	0.8202	NA	0.877	0.8119
ENSG00000006659.13	0.17838	0.18548	0.1882	0.26903	0.16013	NA	0.17309	0.22171	0.16426	0.24192	0.0	0.23112	0.20449	0.19619	0.22367	0.23699	0.27578	0.12965	0.16831	0.16078	0.41806	0.5549	0.07613	0.14036	0.17412	0.2104	0.15744	0.69066	0.50289	0.10408	0.11237	0.23055	0.23362	NA	0.36461
ENSG00000011009.11	0.28373	0.41914	0.38136	NA	0.25186	NA	NA	0.39899	0.34606	0.27665	NA	NA	0.30848	0.29058	0.17037	0.54608	0.35925	0.2808	0.22104	0.24369	NA	0.38045	NA	0.23409	0.24339	0.16829	0.37042	0.26624	0.29582	0.25206	0.13997	0.25412	0.31551	0.09265	NA
ENSG00000013392.8	0.87733	0.90446	0.91925	0.92599	0.93383	NA	0.89723	0.90581	0.92617	0.90404	0.9125	0.93418	0.93163	0.94159	0.9347	0.923	0.9332	0.93479	0.93395	0.94696	0.93261	0.90554	0.9029	0.93399	0.91166	0.93353	0.93286	0.92965	0.9057	0.92763	0.90545	0.91324	0.93375	NA	0.93263
ENSG00000020129.16	0.22192	NA	0.33897	0.32923	0.16931	NA	0.83701	0.53397	0.50972	0.49271	0.31841	0.73491	0.48173	0.4829	0.40167	0.46595	0.48699	0.16261	NA	0.49907	0.52521	0.57308	0.80265	0.85783	NA	0.52842	0.22335	0.82283	0.31764	0.14412	NA	0.28356	NA	NA	0.33103
ENSG00000026025.16	0.3599	0.33726	0.24187	NA	NA	NA	NA	0.23352	NA	NA	0.17699	0.3457	0.17871	NA	0.17354	NA	NA	NA	NA	NA	NA	0.27006	NA	NA	NA	0.31992	0.30848	0.46665	NA	NA	NA	NA	0.13744	NA	NA
ENSG00000033100.17	NA	0.43203	0.83795	0.61328	0.77184	NA	NA	0.83941	0.84061	NA	0.5832	0.86893	0.77552	NA	NA	NA	0.60738	NA	0.86771	0.84353	NA	0.87128	NA	0.81703	NA	NA	0.85237	0.86365	0.84129	NA	NA	0.82852	NA	NA	0.46272
ENSG00000034510.6	0.56536	0.57317	0.57823	0.54577	0.21019	0.55154	0.53123	0.51897	0.05631	0.53601	0.55921	0.06682	0.52696	0.54362	0.56009	0.52007	0.51504	0.20612	0.53572	0.54548	0.49794	0.59234	0.49584	0.57472	0.57376	0.50967	0.5463	0.57008	0.57143	0.3876	0.55605	0.53634	0.47579	0.56811	0.48949
ENSG00000037042.9	0.15491	0.38231	NA	NA	0.16653	NA	NA	0.35476	NA	NA	0.34306	0.25818	NA	0.19958	0.32046	0.35033	0.24174	0.21114	0.36947	0.19016	0.15305	NA	NA	0.13008	0.29531	0.11657	0.21735	NA	0.22729	NA	0.21144	0.39611	NA	0.17729	0.17481
ENSG00000037757.14	0.32357	0.58194	0.34969	0.21278	0.38549	0.24833	0.59849	0.39536	0.64991	0.42818	0.29748	0.33074	0.32224	0.1515	0.54187	0.69857	0.55635	NA	0.6092	0.29452	0.56358	0.54265	0.45415	0.48084	0.39507	0.35866	0.2524	0.55365	0.37088	0.48091	0.3361	0.3611	0.52832	0.24622	0.41164
ENSG00000039987.7	NA	0.84442	0.74822	0.85784	0.85265	NA	0.86392	0.76381	NA	0.80978	0.79923	0.82647	0.82846	0.13913	NA	0.82891	0.22262	NA	NA	0.78689	0.87513	0.76226	0.81098	0.8022	NA	0.43436	0.80856	NA	0.81313	0.79276	0.42004	NA	NA	0.48495	0.80443
ENSG00000041880.15	0.41245	NA	0.56178	0.40455	0.50974	0.80472	0.55213	0.49064	NA	0.81251	0.50809	0.82343	0.5493	0.80758	0.51763	0.52371	0.48303	0.79589	0.78783	0.3604	0.54365	0.33614	0.55392	0.53517	0.19869	0.51793	0.79302	NA	0.52944	NA	0.78334	0.52586	0.56377	0.54547	0.49161
ENSG00000043355.12	NA	NA	NA	NA	0.43414	NA	NA	NA	NA	NA	0.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25511	NA	NA	NA	NA	NA	0.26793	NA	NA	NA	0.60895	NA	NA	0.76456
ENSG00000044012.4	0.25467	0.29241	0.22382	0.24533	0.26081	NA	0.29978	0.24738	0.24984	0.20402	0.25235	0.23228	0.26497	0.29689	0.26582	0.20703	0.25849	0.16687	0.26158	0.26709	0.28936	0.2556	0.25207	0.26238	0.19547	0.22596	0.20048	0.31259	0.25378	0.31911	0.20674	0.26006	0.22958	0.22229	0.2581
ENSG00000048462.11	NA	NA	0.18856	0.51197	0.08962	NA	0.2025	0.19947	0.19133	0.10735	0.18679	NA	0.1578	0.11109	0.10701	0.17425	NA	0.20474	0.08688	0.2882	0.19874	NA	NA	NA	NA	NA	0.17756	0.0855	0.03996	0.06213	0.21132	NA	0.59814	NA	0.20262
ENSG00000048545.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000053372.5	0.31481	NA	NA	NA	0.53637	NA	0.14874	0.45279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.31163	NA	NA	0.30604	NA	0.28364	NA	NA	NA	NA	NA	0.82867
ENSG00000053438.11	0.68235	NA	NA	0.36798	NA	NA	NA	NA	NA	0.66265	0.72594	NA	0.3618	NA	NA	0.71188	0.65434	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.34313	0.67349	NA	NA	NA	NA	NA	NA	NA
ENSG00000053501.14	0.2002	0.1892	0.2643	0.34118	NA	NA	0.12184	0.28241	0.22428	0.29361	0.25002	0.32812	0.13883	0.17047	0.17129	0.20005	0.14055	0.24624	0.31688	0.17617	0.3001	0.19257	0.24819	0.27706	0.34944	0.10194	0.19138	0.26671	0.10635	0.23475	0.42586	0.25564	0.16219	NA	0.12877
ENSG00000054148.18	0.0934	0.03611	0.14219	0.09495	0.07399	0.04078	0.03316	NA	0.05252	0.05145	0.06337	0.03333	NA	0.07687	NA	0.10107	0.05877	0.03021	0.02971	NA	0.04514	0.04377	0.04381	NA	0.04257	0.06764	0.04521	0.11986	NA	NA	0.02926	0.03676	0.06618	0.01904	0.04602
ENSG00000057757.10	0.31467	NA	0.17573	0.33687	0.16888	NA	0.32111	0.69977	0.29302	0.61681	0.30484	0.72327	0.34702	0.64551	0.52945	0.18837	0.29889	0.65308	0.3292	0.63382	0.34034	0.17925	0.35666	0.28887	0.29215	0.33162	0.34936	0.67741	0.30586	0.18103	0.26784	0.35858	0.34566	0.66909	0.34637
ENSG00000060491.17	0.67261	0.78102	0.76446	0.30125	0.32051	NA	0.31497	0.73328	NA	0.77154	0.27812	0.29917	0.71821	0.29807	0.65827	0.25095	0.31907	0.74302	0.304	0.72211	0.27347	0.7491	0.78867	0.29235	0.29779	0.73343	0.75105	0.33918	0.4211	0.28941	0.31429	0.40262	0.29568	NA	0.30815
ENSG00000061492.12	0.43112	0.23501	0.45784	0.82265	0.41845	NA	0.2152	0.43782	0.42725	0.74507	0.42162	0.38016	0.23606	0.40409	0.26198	0.27282	0.83829	0.22678	0.65281	0.39731	0.37827	0.76046	0.84331	NA	0.26197	0.26203	0.39391	0.44409	0.38253	0.20006	0.71734	0.41968	NA	NA	0.79341
ENSG00000061656.11	0.16093	NA	NA	0.37997	0.28309	NA	0.27739	0.41922	NA	NA	0.31403	0.39858	0.1957	0.72765	0.32927	0.4591	0.45732	0.55253	0.48245	0.46115	0.44292	0.68933	0.23846	NA	0.6888	0.72088	0.66378	0.33637	0.38795	NA	0.53478	0.43503	0.26402	NA	0.19466
ENSG00000063322.15	0.7604	0.77495	0.71473	0.66019	0.71205	0.74344	0.7279	0.74752	0.42652	0.70423	0.66933	0.72619	0.72406	0.75231	0.72779	0.39509	0.73566	0.75993	0.77572	0.77509	0.69188	0.70704	NA	0.69197	0.64345	0.8082	0.74468	0.74419	0.74945	0.7879	0.64338	0.66803	0.70626	0.68548	NA
ENSG00000065518.8	0.31399	NA	0.40672	0.56942	0.32415	NA	NA	NA	NA	NA	NA	NA	0.64455	NA	0.56748	NA	0.23662	NA	NA	0.6378	NA	NA	NA	NA	NA	NA	NA	0.60082	0.5505	NA	0.51609	NA	0.64953	0.30173	NA
ENSG00000066379.15	0.64313	0.35821	0.38447	NA	NA	NA	0.38518	NA	0.08168	NA	0.30107	0.29659	0.3834	0.70018	NA	0.21582	NA	0.26621	NA	0.47667	0.44441	0.4133	0.23931	0.45324	0.55828	0.41858	0.47527	0.53107	0.49133	0.31161	0.31388	0.44406	0.3026	0.26093	0.30173
ENSG00000068079.8	0.71552	NA	0.21335	NA	NA	NA	0.61691	NA	NA	NA	0.39129	0.14428	0.71526	0.35288	0.36048	0.61429	NA	NA	0.26202	NA	0.07905	0.36624	0.64038	0.40891	NA	0.35551	0.22042	0.63508	0.39579	0.30984	0.21958	0.70943	NA	NA	0.13529
ENSG00000069482.7	NA	NA	NA	0.07684	0.21128	NA	NA	0.28439	NA	NA	NA	0.8702	NA	0.07434	NA	NA	0.21513	NA	NA	NA	0.02469	0.56451	NA	NA	0.28849	NA	0.59551	NA	0.03389	0.18441	0.05291	0.17262	NA	NA	NA
ENSG00000069696.7	0.86523	0.60528	0.53744	0.61472	0.64338	NA	0.59647	NA	NA	NA	0.58292	0.59701	NA	NA	0.88716	NA	0.64051	0.59545	NA	0.60882	NA	NA	0.75405	0.57234	NA	0.82458	NA	NA	0.58081	0.57246	NA	0.6069	NA	NA	0.62364
ENSG00000070388.12	NA	NA	NA	NA	0.85056	NA	NA	0.80432	0.77969	0.81865	NA	0.81165	0.82088	NA	NA	0.77112	0.80193	0.83599	0.839	0.83881	0.81022	0.75354	NA	NA	NA	0.86892	NA	NA	0.8379	0.72501	0.82764	0.82854	NA	NA	0.80975
ENSG00000070404.10	0.65434	NA	NA	0.28952	0.61285	NA	NA	NA	0.34934	0.32815	0.43887	NA	0.3719	0.59004	NA	NA	0.45057	NA	0.56693	NA	NA	NA	NA	NA	0.49509	NA	NA	NA	0.69308	NA	NA	0.45248	NA	NA	0.70492
ENSG00000071859.15	NA	0.22894	0.24926	NA	0.25626	NA	0.37533	0.45447	NA	0.38914	0.33208	NA	0.39766	0.33	NA	0.37881	NA	NA	0.10186	0.24115	0.24235	0.25835	0.14351	0.44848	0.27701	0.19409	NA	0.37454	0.24035	NA	0.10011	NA	NA	NA	0.30481
ENSG00000073067.14	0.38598	0.3811	0.50219	0.29948	0.53618	NA	0.45781	0.42193	NA	0.22553	0.39433	NA	NA	0.26255	0.54111	0.19225	0.18633	0.54254	0.46843	0.52952	0.55537	0.33987	NA	NA	0.25713	0.4913	0.48989	0.25861	0.45812	0.29128	NA	0.30135	NA	NA	0.29325
ENSG00000073150.14	0.87915	0.8667	0.88831	0.89718	0.8488	NA	0.90046	0.81056	0.33518	0.8888	0.84234	0.90848	0.84539	0.81549	0.87803	0.37339	0.89188	0.91631	0.85801	0.88796	0.85497	0.8171	0.85421	0.36181	0.87759	0.7689	0.67316	0.89759	0.84285	0.85144	0.88195	0.88186	0.89557	0.86817	0.82317
ENSG00000073598.6	0.57223	0.84752	0.60772	0.54049	0.55824	0.60707	0.59483	0.55575	0.55336	0.80512	0.59315	0.81537	0.61632	0.59378	0.56734	0.79582	0.81653	0.59072	0.59842	0.60398	0.5776	0.56365	0.66901	0.56632	0.54966	0.8544	0.60555	0.57092	0.5728	0.82216	0.59622	0.62	0.55995	0.63012	0.63045
ENSG00000077009.14	0.40555	0.19337	0.29873	0.21033	0.19227	NA	0.18097	0.26817	0.16372	0.12099	0.10065	0.1823	0.14459	0.14747	0.17589	0.118	0.15433	0.24914	0.09079	0.22911	0.24755	0.08818	0.12479	0.09817	0.26423	0.10206	0.24656	0.13911	0.50651	NA	0.30776	0.18156	0.17551	NA	0.23701
ENSG00000078401.7	0.70912	0.0	0.66484	0.85704	0.65897	NA	0.90376	0.74066	0.74285	0.90367	0.74804	0.89522	0.70775	0.71628	0.89279	0.71149	0.72245	0.68453	0.68978	0.73499	0.77931	0.91716	0.65415	0.90643	0.70787	0.63844	0.68783	0.90367	0.69703	0.60931	0.68846	0.85438	0.70504	0.76043	0.71529
ENSG00000078804.13	0.38752	0.37963	0.68331	0.45926	0.72852	NA	0.44098	0.82305	NA	0.42172	0.41717	0.42097	0.60671	0.57707	0.22165	0.23343	0.71763	0.39229	0.78488	0.76731	0.23528	0.82586	0.38808	0.40003	0.73118	0.36834	0.56889	0.46826	0.32595	0.3536	0.73878	0.49399	0.82024	NA	0.40333
ENSG00000080511.5	0.11829	NA	0.64797	0.14148	0.83477	NA	0.70208	0.76229	0.20287	0.34944	0.88626	0.71343	0.60416	0.83102	0.73393	0.7251	0.7998	0.69973	0.26436	0.75965	NA	NA	0.76493	0.29551	0.31918	0.75408	0.672	NA	NA	NA	0.72951	0.68691	NA	NA	0.23321
