Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	99.23	na	97.79	99.46	98.55	na	94.87	98.65	na	94.02	95.24	na	99.80	98.67	na	95.34	100.00	na	na	81.18	na	99.43	97.04	na	97.37	98.31	98.81	95.49	98.22	99.84	98.33	86.97	95.16	na	na
ENSG00000005513.11	98.92	na	na	99.82	na	na	na	99.13	100.00	99.53	na	99.67	99.44	na	na	na	99.05	99.28	na	99.13	99.28	na	98.22	na	na	na	99.90	99.57	na	na	99.47	99.75	na	na	na
ENSG00000006015.18	96.44	97.97	na	98.77	98.69	na	na	na	96.80	na	na	na	97.94	na	99.49	98.68	na	na	na	na	98.78	97.66	na	na	96.29	92.89	na	99.49	na	na	na	na	na	na	95.89
ENSG00000006128.12	86.49	na	99.21	98.95	98.99	99.23	93.10	100.00	96.12	na	na	na	na	99.80	97.82	na	90.25	na	99.23	100.00	na	91.51	98.57	na	na	97.40	97.88	99.98	na	97.90	na	na	na	98.65	85.47
ENSG00000006327.14	99.72	99.51	99.60	99.30	99.62	na	99.52	99.01	97.24	99.14	96.69	95.14	99.50	97.89	98.05	99.89	93.22	98.76	84.26	99.88	97.52	99.80	94.20	97.81	99.59	96.97	99.30	97.83	96.28	97.26	94.55	96.48	99.89	97.24	99.13
ENSG00000006377.11	97.36	100.00	na	95.35	na	100.00	na	na	98.76	97.87	100.00	na	na	96.64	97.00	100.00	100.00	96.06	100.00	99.46	na	na	na	na	98.97	96.06	100.00	99.86	na	na	na	100.00	na	100.00	100.00
ENSG00000006659.13	92.02	86.40	97.48	90.10	93.76	na	100.00	90.21	77.26	95.99	98.12	88.42	98.13	79.38	97.25	91.65	97.12	88.70	95.64	100.00	98.46	99.62	100.00	91.73	100.00	98.64	85.23	98.32	100.00	97.12	86.32	94.87	98.69	na	97.37
ENSG00000011009.11	99.86	98.69	99.22	na	98.71	na	na	96.63	96.44	98.23	na	na	98.35	98.98	99.81	96.76	98.26	85.76	98.78	98.59	na	98.75	na	90.32	99.21	98.93	98.82	98.18	92.06	97.08	97.68	93.97	100.00	99.37	na
ENSG00000013392.8	100.00	100.00	100.00	100.00	100.00	na	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	na	100.00
ENSG00000020129.16	97.72	na	100.00	100.00	100.00	na	96.80	99.65	99.85	99.00	99.65	99.79	96.70	99.35	97.73	96.27	99.64	98.36	na	99.77	99.26	99.09	94.98	98.92	na	99.97	98.72	97.16	99.96	99.18	na	99.82	na	na	100.00
