gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.83604	NA	0.99134	0.893	0.92038	0.88974	0.7598	0.8266	NA	0.96013	0.60114	NA	0.834	0.86578	NA	0.84185	0.98466	NA	NA	0.51126	NA	0.9716	0.40909	NA	0.52764	0.65677	0.0	0.75052	0.97589	0.84395	0.99289	0.83621	0.77702	0.91206	NA
ENSG00000005513.11	0.95621	NA	0.99788	0.99962	NA	0.95171	NA	0.9953	0.97422	0.99743	1.0	0.99731	0.99743	NA	NA	NA	0.95841	0.9968	NA	NA	0.97575	NA	0.95855	NA	NA	NA	0.99951	0.90276	NA	NA	0.99716	0.99946	NA	0.99817	NA
ENSG00000006015.18	0.96919	0.79633	0.98237	0.83489	0.97785	0.9384	NA	0.9974	NA	NA	0.97011	0.99167	0.92739	0.99419	0.9916	0.92599	NA	NA	NA	NA	0.96577	0.86622	0.99435	0.93048	0.90561	0.76247	NA	0.96518	NA	0.96514	0.98333	NA	NA	0.98874	0.81667
ENSG00000006128.12	0.77911	1.0	0.99804	0.94677	0.98601	0.99539	0.62943	0.98479	0.97032	NA	NA	NA	0.83934	0.99162	0.98198	NA	0.68966	NA	0.9832	0.81877	NA	0.86398	0.89021	NA	NA	0.8822	0.83906	0.9803	NA	0.97674	NA	NA	NA	0.99194	0.9167
ENSG00000006327.14	0.99971	0.74225	1.0	0.98899	0.8078	0.89747	0.99685	0.9984	0.0	0.99735	0.77313	0.86565	0.9991	0.99464	0.97714	1.0	0.78632	0.97216	0.86275	0.99856	0.97988	0.79969	0.7767	0.98991	0.9963	0.84833	0.99723	0.58372	0.79125	0.82252	0.83904	0.97671	0.99858	0.83365	0.99913
ENSG00000006377.11	0.73903	0.804	NA	0.88722	NA	0.71992	NA	NA	0.98644	0.81702	0.86509	NA	NA	0.86592	0.84382	0.87784	0.76156	0.81895	0.87552	0.94043	NA	NA	NA	NA	0.85392	0.86089	0.9826	0.89653	NA	NA	NA	0.88989	NA	0.89939	0.98878
ENSG00000006659.13	0.75326	0.90683	0.77158	0.9378	0.82159	0.65276	0.59979	0.80122	0.94895	0.89538	0.97365	0.75459	0.74271	0.83808	0.80075	0.93791	0.78995	0.93519	0.77697	0.58474	0.97964	0.99688	0.82007	0.67035	0.70463	0.93536	0.77434	0.81776	0.63198	0.99388	0.70641	0.88594	0.71722	0.8085	0.96998
ENSG00000011009.11	0.99694	1.0	1.0	1.0	1.0	0.99912	1.0	0.86056	0.99518	0.99763	1.0	0.99941	0.96875	1.0	0.99868	0.99774	1.0	0.92356	0.99645	0.99404	0.73894	0.96256	0.99505	0.99532	1.0	1.0	0.99723	0.99666	0.7848	0.9383	1.0	0.9509	0.59854	0.99956	0.70228
ENSG00000013392.8	0.96664	0.48089	0.96152	0.96232	0.96537	0.96211	0.96639	0.96589	1.0	0.95807	0.96745	0.97001	0.96964	0.96825	0.95944	0.96497	0.95886	0.96639	0.95768	0.96274	0.96453	0.95937	0.96868	0.96285	0.96144	0.96166	0.96688	0.96312	0.96604	0.96391	0.96842	0.96657	0.96776	0.96455	0.96913
ENSG00000020129.16	0.96118	0.99794	0.9971	0.95524	0.95936	0.9939	0.96812	0.9937	0.99498	0.90079	0.99826	0.98865	0.96049	0.99403	0.94127	0.88402	0.99528	0.95093	0.99643	0.99888	0.94866	0.95362	0.92582	0.99646	0.99896	0.99869	0.92169	0.89872	0.99512	0.93552	1.0	0.99656	0.99589	0.87433	0.99495
ENSG00000026025.16	0.95417	0.89328	0.90961	0.99573	NA	0.94846	NA	0.98517	NA	NA	0.87232	0.98021	0.95855	NA	0.98891	NA	1.0	NA	NA	0.99813	NA	0.99859	0.99442	NA	NA	0.99257	0.98881	0.8328	NA	0.91549	NA	NA	0.99745	0.99515	NA
ENSG00000033100.17	NA	0.87849	0.9992	0.99895	0.8672	0.99647	0.99666	0.99582	0.99705	NA	0.90269	0.99742	0.99175	0.99759	NA	0.99576	0.99438	NA	0.98593	0.98901	0.99691	0.995	NA	0.95185	NA	NA	0.99655	0.99665	0.94607	0.91502	0.98588	0.94114	NA	0.98902	0.99612
ENSG00000034510.6	0.969	0.96957	0.95435	0.95948	0.95331	0.9609	0.96816	0.96714	0.88696	0.89783	0.9233	0.90771	0.95656	0.95586	0.93056	0.9087	0.96304	0.95224	0.9164	0.95743	0.96237	0.96404	0.76522	0.95652	0.96237	0.91205	0.92441	0.95224	0.92994	0.93478	0.94565	0.96527	0.96091	0.95135	0.96165
ENSG00000037042.9	0.97981	0.91243	NA	NA	0.98411	NA	NA	0.9	NA	NA	0.91817	0.96931	NA	0.96899	0.98738	0.9356	0.81171	0.95508	0.92187	0.84359	0.87917	NA	NA	0.98072	0.99577	0.96081	0.96442	NA	0.98182	0.89558	0.8337	0.96588	NA	0.9487	0.94068
ENSG00000037757.14	0.99708	0.71882	0.91656	0.99781	0.83726	0.84657	0.97472	0.76943	0.97343	0.99858	0.958	0.99568	0.88072	0.87751	0.8725	0.87416	0.0	0.99604	0.88683	0.82888	0.83609	0.99809	0.85232	0.99791	0.99601	0.83869	0.87049	0.86693	0.7564	0.9915	0.99616	0.96618	0.82644	0.91082	0.94169
ENSG00000039987.7	NA	0.93669	0.99077	0.99797	0.46211	0.93925	0.99946	0.86727	NA	0.98102	0.9978	0.92965	0.91063	0.92969	NA	0.91327	0.92042	NA	NA	0.92894	0.99641	0.91216	0.92978	0.91774	NA	0.96268	0.91418	NA	0.99267	0.89659	0.92152	NA	NA	0.9995	0.99318
ENSG00000041880.15	0.98716	NA	0.86859	1.0	0.93498	0.99609	0.9996	0.84792	1.0	0.99302	0.99868	0.90569	0.89374	0.9977	0.99732	0.99685	0.81167	0.99633	0.99278	0.99377	0.99817	0.98098	0.90268	0.9318	0.73454	0.91576	0.99389	NA	0.99333	0.13811	0.99692	0.99228	0.99902	0.99546	0.94571
ENSG00000043355.12	0.97051	NA	0.98673	NA	0.58161	0.52264	0.96913	0.96057	NA	NA	0.43504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.98462	0.98913	NA	NA	NA	NA	0.30702	NA	0.98276	NA	0.82065	0.97206	NA	0.89876
ENSG00000044012.4	0.69049	0.65449	0.69983	0.69834	0.66777	0.64702	0.77416	0.76242	0.8505	0.66501	0.73149	0.65286	0.66689	0.68194	0.67629	0.74751	0.74793	0.66188	0.72991	0.72583	0.69023	0.74823	0.68439	0.73134	0.69945	0.67274	0.68079	0.66207	0.68954	0.65449	0.70978	0.6884	0.68186	0.67351	0.76422
ENSG00000048462.11	NA	NA	0.79179	0.93107	0.8031	0.98065	0.81628	0.84072	0.93169	0.77323	0.79282	NA	0.7779	0.78484	0.81047	0.79487	NA	0.77901	0.75398	0.84485	0.80238	NA	NA	NA	NA	NA	0.79112	0.79832	0.80834	0.69965	0.97392	NA	0.83198	NA	0.80566
ENSG00000048545.18	0.92127	0.68934	0.83923	0.90258	0.86228	0.9298	0.87522	0.97155	0.9613	0.90435	0.91753	0.91125	0.95595	0.97223	0.97312	0.88571	0.89382	0.99418	0.95965	0.91527	0.99131	0.95297	0.99334	0.98825	0.99006	0.90875	0.93711	0.92143	0.91884	0.96232	0.85956	0.89649	0.92239	0.92209	0.89085
ENSG00000053372.5	0.95642	0.91148	1.0	0.85208	0.96084	1.0	0.97118	0.97238	1.0	1.0	0.91811	1.0	1.0	1.0	0.14088	0.82025	0.96084	1.0	0.94608	NA	0.89289	0.96557	1.0	0.99353	0.99408	1.0	0.99158	0.8257	1.0	0.0	0.88383	0.86756	1.0	0.94943	0.99343
ENSG00000053438.11	0.93155	NA	1.0	1.0	1.0	NA	NA	0.9706	NA	0.93909	1.0	NA	1.0	1.0	0.97263	0.96914	0.98527	NA	0.40073	NA	NA	NA	0.99206	NA	NA	NA	1.0	0.99971	NA	NA	NA	0.99869	0.99958	1.0	NA
ENSG00000053501.14	0.89928	0.96465	0.82308	0.7	0.97539	0.97991	0.91846	0.96136	0.0	0.91349	0.62693	0.93013	0.99779	0.64214	0.95492	0.78755	0.93569	0.8704	0.9737	0.9437	0.60736	0.9116	0.87978	0.90375	0.92921	0.97676	0.94849	0.90654	0.6468	0.76178	0.63411	0.91598	0.64392	0.97084	0.93644
ENSG00000054148.18	0.88169	0.94828	0.72984	0.99244	0.71991	0.56668	0.58842	NA	0.8871	0.83813	0.94755	0.52537	NA	0.95553	NA	0.66256	0.67933	0.94095	0.58496	NA	0.80942	0.88134	0.77419	NA	0.91763	0.89227	0.93266	0.80019	NA	NA	0.97836	0.67932	0.98558	0.98194	0.79262
ENSG00000057757.10	0.90641	0.99534	0.99917	0.95221	0.82711	0.83697	0.96271	0.95101	0.99729	0.96094	0.99611	0.99401	0.99421	0.99631	0.9401	0.87894	0.96691	0.95188	0.97173	0.94481	0.99776	0.92435	0.97838	0.78401	0.7885	0.90247	0.97507	0.97096	0.81257	0.86632	0.97775	0.0	0.87695	0.84603	0.96287
ENSG00000060491.17	0.99067	0.93792	0.93466	0.88742	0.85974	0.85384	0.94838	0.98006	0.9991	0.95328	0.9279	0.91558	0.93474	0.92617	0.95324	0.95229	0.99897	0.93424	0.93794	0.89515	0.91849	0.94241	0.88064	0.90491	0.94807	0.94524	0.91057	0.90907	0.84475	0.91185	0.79834	0.92636	0.93338	0.92402	0.94872
