gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	63.0972	NA	59.08077	62.86812	58.13953	NA	58.13953	58.11995	NA	62.41893	62.86812	NA	55.03206	62.86812	NA	53.8125	62.566	NA	NA	62.86812	NA	50.05062	62.86812	NA	54.98607	58.13953	59.17492	62.86812	62.82121	58.6097	58.08737	62.86812	58.10697	NA	NA
ENSG00000005513.11	31.36226	NA	31.08092	30.68336	NA	NA	NA	30.68336	30.68336	31.34381	30.68336	31.35982	31.36226	NA	NA	NA	31.35982	30.68336	NA	30.68336	31.35982	NA	31.36226	NA	NA	NA	30.68336	30.68336	NA	NA	31.36104	30.68336	NA	30.68336	NA
ENSG00000006015.18	53.30617	53.30617	53.30617	48.77103	49.30595	NA	NA	49.2989	53.30617	NA	53.30617	54.45355	53.30617	51.87471	53.30617	52.00952	NA	NA	NA	NA	47.74686	54.24113	47.65335	NA	53.30617	53.30617	NA	54.57311	NA	53.30617	53.30617	NA	NA	NA	53.30617
ENSG00000006128.12	45.4023	45.4023	45.4023	45.4023	45.4023	40.94132	45.4023	45.4023	45.4023	NA	NA	NA	45.4023	45.4023	45.4023	NA	45.4023	NA	45.4023	45.4023	NA	45.4023	45.4023	NA	NA	45.4023	45.4023	45.4023	NA	45.4023	NA	NA	NA	45.4023	45.4023
ENSG00000006327.14	56.0339	56.0339	56.0339	56.0339	56.0339	NA	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339	56.0339
ENSG00000006377.11	41.80865	41.80865	NA	41.80865	NA	41.80865	NA	NA	41.80865	41.80865	41.80865	NA	NA	41.80865	41.80865	41.80865	41.80865	41.80865	41.80865	41.80865	NA	NA	NA	NA	41.80865	41.80865	41.80865	41.80865	NA	NA	NA	41.80865	NA	41.80865	41.80865
ENSG00000006659.13	86.85497	86.85497	86.85497	86.85497	86.85497	NA	86.85497	78.32402	86.85497	86.85497	86.85497	78.23661	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	81.8473	86.85497	86.85497	86.85497	78.32402	86.85497	86.85497	86.85497	86.85497	86.85497	86.85497	NA	86.85497
ENSG00000011009.11	59.76405	58.85502	58.85502	60.84817	58.73369	NA	59.52928	58.93427	51.97463	54.95561	59.82275	58.65141	58.57592	58.57592	55.66038	55.04397	56.5391	62.10538	54.01108	58.57592	60.49273	58.85502	58.83439	56.68099	58.38539	57.12226	57.84472	59.76405	61.35553	61.15053	63.17979	55.82386	56.94268	59.7463	60.61909
ENSG00000013392.8	23.24224	23.24224	23.24224	23.24224	23.24224	NA	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	23.24224	NA	23.24224
ENSG00000020129.16	65.08147	61.98817	61.00033	60.44847	68.94433	NA	65.80417	60.94457	61.70469	65.50123	60.74228	65.14763	60.46294	62.71571	64.06181	64.377	NA	61.93719	60.55614	66.45049	58.98783	60.37346	66.36358	62.71571	67.62717	60.61032	61.2812	63.77029	64.83528	61.57386	66.68775	65.81642	NA	NA	68.28791
ENSG00000026025.16	59.04877	63.69119	62.62228	65.40421	NA	NA	NA	65.03685	NA	NA	63.65361	61.55095	58.01587	NA	64.05311	NA	64.73502	NA	NA	58.26079	NA	58.26039	61.28242	NA	NA	64.56348	67.40074	60.41254	NA	60.22499	NA	NA	58.43339	NA	NA
ENSG00000033100.17	NA	46.7735	53.00404	45.16138	47.48441	NA	45.352	48.30429	50.53066	NA	51.63145	46.51261	53.00404	53.00404	NA	53.00404	NA	NA	43.6559	48.27414	45.50599	46.02636	NA	53.00404	NA	NA	53.00404	48.25456	53.00404	47.48324	45.41573	48.26962	NA	NA	43.17857
