gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.62411	NA	0.6574	0.71766	0.67737	NA	0.62296	0.61635	NA	0.67271	0.56176	NA	0.61261	0.61065	NA	0.68243	0.61174	NA	NA	0.49102	NA	0.74253	0.67311	NA	0.66389	0.65094	0.67756	0.62839	0.61841	0.67503	0.73427	0.55965	0.61903	NA	NA
ENSG00000005513.11	0.8873	NA	0.89574	0.89185	NA	NA	NA	0.92084	0.89309	0.92102	0.89276	0.9016	0.91304	NA	NA	NA	0.86549	0.89827	NA	0.90872	0.91872	NA	0.86132	NA	NA	NA	0.88484	0.89716	NA	NA	0.90388	0.89609	NA	0.88599	NA
ENSG00000006015.18	0.45401	0.63389	0.68325	0.76434	0.75084	NA	NA	0.7892	0.67299	NA	0.71161	0.72369	0.43032	0.7232	0.71563	0.71797	NA	NA	NA	NA	0.81246	0.76366	0.82282	NA	0.58958	0.5065	NA	0.73586	NA	0.68021	0.73267	NA	NA	NA	0.65647
ENSG00000006128.12	0.59932	0.75418	0.83869	0.80927	0.78373	0.82306	0.74036	0.83553	0.68191	NA	NA	NA	0.78134	0.80877	0.80091	NA	0.65208	NA	0.7849	0.80686	NA	0.7255	0.75371	NA	NA	0.76484	0.74438	0.80607	NA	0.82549	NA	NA	NA	0.7627	0.53706
ENSG00000006327.14	0.6262	0.55506	0.54684	0.45891	0.38106	NA	0.47094	0.65251	0.49161	0.43296	0.58648	0.44196	0.66147	0.58971	0.45876	0.43404	0.3944	0.43094	0.37396	0.38922	0.47694	0.50551	0.40074	0.49007	0.58662	0.41688	0.46027	0.50875	0.38508	0.62542	0.41455	0.36034	0.56799	0.61351	0.50651
ENSG00000006377.11	0.74648	0.74925	NA	0.71551	NA	0.82956	NA	NA	0.77448	0.72823	0.75899	NA	NA	0.73473	0.72148	0.70958	0.77187	0.70602	0.78241	0.83923	NA	NA	NA	NA	0.71739	0.64191	0.78333	0.83843	NA	NA	NA	0.83991	NA	0.81319	0.80649
ENSG00000006659.13	0.5852	0.31658	0.17273	0.50403	0.19519	NA	0.36217	0.22821	0.36872	0.51615	0.2216	0.26655	0.40424	0.29796	0.35254	0.36608	0.45441	0.45124	0.24807	0.35986	0.66954	0.63245	0.1897	0.18321	0.39383	0.35263	0.2256	0.29967	0.47192	0.46824	0.1671	0.24441	0.42	NA	0.69933
ENSG00000011009.11	0.46478	0.45003	0.42283	0.48875	0.4091	NA	0.47043	0.44484	0.62642	0.46781	0.48069	0.57095	0.47435	0.51958	0.47811	0.59643	0.5161	0.41469	0.53869	0.47706	0.39756	0.38805	0.52387	0.48909	0.45296	0.34239	0.51801	0.49756	0.4916	0.53649	0.45964	0.46665	0.52312	0.46999	0.44269
ENSG00000013392.8	0.89345	0.85223	0.82508	0.92777	0.83571	NA	0.89014	0.89364	0.84024	0.82167	0.92526	0.88539	0.89352	0.89616	0.83081	0.83748	0.87656	0.89008	0.82355	0.89408	0.92459	0.83194	0.86145	0.82244	0.92823	0.83743	0.8964	0.92527	0.83047	0.89868	0.8406	0.92599	0.88377	NA	0.92427
ENSG00000020129.16	0.80896	0	0.83485	0.83412	0.83905	NA	0.81163	0.87713	0.84198	0.78574	0.8267	0.81932	0.63413	0.84962	0.85409	0.79538	NA	0.81219	0.88013	0.85619	0.80827	0.82542	0.79285	0.84193	0.87437	0.847	0.80214	0.74506	0.87701	0.83992	0.86276	0.85689	NA	NA	0.86708
