gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.9675	NA	0.85644	0.97471	0.88327	NA	0.87296	0.90895	NA	0.91501	0.825	NA	0.94353	0.97513	NA	0.98054	0.74756	NA	NA	0.88123	NA	0.9785	0.93466	NA	0.95578	0.93698	0.9886	0.90608	0.9703	0.92038	0.98882	0.95402	0.95967	NA	NA
ENSG00000005513.11	0.99603	NA	NA	0.99944	NA	NA	NA	0.94877	1.0	0.9982	NA	0.99906	0.99904	NA	NA	NA	0.99564	0.9984	NA	0.91874	0.98268	NA	0.9977	NA	NA	NA	0.99941	0.99859	NA	NA	0.99845	0.99964	NA	NA	NA
ENSG00000006015.18	0.89325	0.0	NA	0.9724	0.97439	NA	NA	NA	0.93702	NA	NA	NA	0.87516	NA	0.97078	0.97533	NA	NA	NA	NA	0.97085	0.97793	NA	NA	0.93152	0.92547	NA	0.96316	NA	NA	NA	NA	NA	NA	0.93933
ENSG00000006128.12	0.96248	NA	0.95383	0.9962	0.94922	0.84734	0.98832	0.95505	0.0	NA	NA	NA	NA	0.99678	0.99828	NA	0.98216	NA	0.96932	0.96049	NA	0.9882	0.0	NA	NA	0.99206	0.95177	0.96786	NA	0.99366	NA	NA	NA	0.96112	0.98519
ENSG00000006327.14	0.89443	0.93992	0.8579	0.84079	0.82329	NA	0.8378	0.84335	0.82887	0.85847	0.84254	0.80243	0.86483	0.84795	0.7849	0.67203	0.83618	0.85538	0.87439	0.83349	0.72755	0.82462	0.81553	0.75914	0.89423	0.84833	0.79889	0.81023	0.89803	0.93702	0.892	0.71074	0.79701	0.8718	0.88192
ENSG00000006377.11	0.99094	0.99875	NA	0.97982	NA	0.99959	NA	NA	0.0	0.0	1.0	NA	NA	0.98797	0.98995	1.0	1.0	0.98895	1.0	0.99852	NA	NA	NA	NA	0.99549	0.98688	0.99948	0.99912	NA	NA	NA	1.0	NA	0.99977	0.99978
ENSG00000006659.13	0.83998	0.73913	0.76799	0.83923	0.72278	NA	0.80811	0.78648	0.87087	0.82615	0.0	0.76962	0.76489	0.88766	0.76427	0.73529	0.81126	0.78465	0.83681	0.8005	0.88068	0.87705	0.61246	0.71271	0.84556	0.73823	0.72663	0.94138	0.92145	0.84709	0.64235	0.97581	0.76698	NA	0.89238
ENSG00000011009.11	0.85821	0.9254	0.86458	NA	0.86527	NA	NA	0.89607	0.93012	0.88507	NA	NA	0.86719	0.80828	0.86957	0.8733	0.89185	0.75733	0.89346	0.78983	NA	0.81607	NA	0.86768	0.94939	0.92949	0.91031	0.87239	0.90227	0.86118	0.73613	0.91972	0.84808	0.61833	NA
ENSG00000013392.8	1.0	1.0	1.0	1.0	1.0	NA	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	NA	1.0
ENSG00000020129.16	0.9964	NA	1.0	1.0	1.0	NA	0.99199	0.9993	0.99785	0.99929	1.0	1.0	0.99427	0.99967	0.99791	0.99432	0.99961	0.99661	NA	0.99963	0.99972	0.99712	0.99531	0.99764	NA	0.99947	0.99777	0.99729	0.99992	1.0	NA	1.0	NA	NA	1.0
