Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000004059.11	89.76%	na	89.76%	89.76%	89.76%	na	89.76%	89.76%	na	89.76%	89.76%	na	89.76%	89.76%	na	89.76%	89.76%	na	na	89.76%	na	89.76%	89.76%	na	89.76%	89.76%	89.76%	89.76%	89.76%	89.76%	89.76%	89.76%	89.76%	na
ENSG00000005513.11	99.45%	na	99.45%	99.45%	na	na	na	99.45%	99.45%	99.45%	99.45%	99.45%	99.45%	na	na	na	99.45%	99.45%	na	99.45%	99.45%	na	99.45%	na	na	na	99.45%	99.53%	na	na	99.45%	99.45%	na	na
ENSG00000006015.18	99.98%	99.98%	99.98%	99.98%	99.98%	na	na	99.98%	99.98%	na	99.98%	99.98%	99.98%	99.98%	99.98%	99.98%	na	na	na	na	99.98%	99.98%	99.98%	na	99.98%	99.98%	na	99.98%	na	99.98%	99.98%	na	na	99.98%
ENSG00000006128.12	99.23%	99.23%	99.23%	99.23%	99.23%	99.23%	99.23%	99.23%	99.23%	na	na	na	99.23%	99.23%	99.23%	na	99.23%	na	99.23%	99.23%	na	99.23%	99.23%	na	na	99.23%	99.23%	99.23%	na	99.23%	na	na	na	99.23%
ENSG00000006327.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000006377.11	100.00%	100.00%	na	91.30%	na	100.00%	na	na	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	91.30%	100.00%	100.00%	na	na	na	na	100.00%	91.30%	100.00%	100.00%	na	na	na	100.00%	na	100.00%
ENSG00000006659.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000011009.11	88.86%	88.86%	88.86%	88.86%	88.86%	na	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%	88.86%
ENSG00000013392.8	100.00%	98.78%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	98.78%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000020129.16	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	98.36%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000026025.16	100.00%	98.67%	98.67%	100.00%	na	na	na	98.67%	na	na	100.00%	100.00%	100.00%	na	100.00%	na	98.67%	na	na	100.00%	na	100.00%	98.67%	na	na	100.00%	98.67%	98.67%	na	98.79%	na	na	100.00%	na
ENSG00000033100.17	na	94.01%	94.01%	94.01%	94.01%	na	94.01%	94.01%	94.01%	na	94.01%	94.01%	94.01%	94.01%	na	94.01%	na	na	94.01%	94.01%	94.01%	94.01%	na	94.01%	na	na	94.01%	94.01%	94.01%	94.01%	94.01%	94.01%	na	94.01%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	100.00%	100.00%	na	na	100.00%	na	na	100.00%	na	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000037757.14	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%	96.93%
ENSG00000039987.7	na	98.72%	100.00%	98.72%	100.00%	na	98.72%	98.72%	na	98.72%	98.72%	100.00%	98.72%	100.00%	na	98.72%	98.72%	na	na	98.72%	100.00%	98.72%	100.00%	98.72%	na	98.72%	98.72%	na	100.00%	98.72%	98.72%	na	na	98.72%
