gene_id	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	0.16595	NA	0.64623	0.05604	0.31096	0.04376	0.12699	0.10124	NA	0.05362	0.06678	NA	0.02789	0.13027	NA	0.05543	0.66234	NA	NA	0.00566	NA	0.51791	0.01163	NA	0.04266	0.08322	0.0	0.08005	0.17398	0.04104	0.63823	0.00422	0.08459	0.15284	NA
ENSG00000005513.11	0.30062	NA	0.76696	0.76013	NA	0.25763	NA	0.77785	0.35326	0.85866	0.89602	0.26837	0.7932	NA	NA	NA	0.3898	0.64432	NA	NA	0.65202	NA	0.32328	NA	NA	NA	0.83335	0.7271	NA	NA	0.34102	0.26746	NA	0.80862	NA
ENSG00000006015.18	0.37808	0.08169	0.40484	0.10223	0.09232	0.03605	NA	0.36136	NA	NA	0.51467	0.62185	0.3299	0.29165	0.14897	0.20237	NA	NA	NA	NA	0.27427	0.08473	0.61313	0.53379	0.09968	0.02165	NA	0.32808	NA	0.56803	0.22413	NA	NA	0.34539	0.01807
ENSG00000006128.12	0.03823	0.38783	0.79504	0.31271	0.69709	0.41651	0.00747	0.43327	0.684	NA	NA	NA	0.26	0.53392	0.44507	NA	0.00629	NA	0.13369	0.03294	NA	0.06824	0.10152	NA	NA	0.15295	0.10794	0.44081	NA	0.74992	NA	NA	NA	0.51475	0.05541
ENSG00000006327.14	0.70133	0.02818	0.70584	0.60967	0.06651	0.05864	0.73714	0.61161	0.0	0.75073	0.11136	0.0126	0.61367	0.58036	0.69316	0.74541	0.03797	0.70965	0.01395	0.30915	0.39552	0.08287	0.12513	0.52786	0.72777	0.03218	0.6885	0.02173	0.11668	0.08166	0.1089	0.64819	0.63302	0.082	0.71345
ENSG00000006377.11	0.15802	0.25225	NA	0.21759	NA	0.11493	NA	NA	0.73462	0.30739	0.22724	NA	NA	0.36408	0.28949	0.32032	0.21102	0.24389	0.30581	0.37845	NA	NA	NA	NA	0.22161	0.15553	0.21562	0.08439	NA	NA	NA	0.31919	NA	0.15695	0.24104
ENSG00000006659.13	0.01028	0.00846	0.0093	0.01917	0.0137	0.00694	0.08251	0.10112	0.48081	0.20944	0.11431	0.03684	0.03284	0.00146	0.01821	0.29077	0.09194	0.01673	0.2926	0.05956	0.60386	0.6358	0.19451	0.00097	0.00099	0.12053	0.12305	0.21411	0.07074	0.72666	0.00662	0.02451	0.08123	0.2472	0.30353
ENSG00000011009.11	0.18623	0.07253	0.56142	0.3755	0.1141	0.33214	0.14239	0.02911	0.32329	0.18955	0.33802	0.39158	0.50931	0.5965	0.42685	0.16968	0.15615	0.00736	0.15742	0.72506	0.01784	0.31292	0.27863	0.0966	0.39394	0.52195	0.19021	0.14518	0.00486	0.02976	0.13857	0.00887	0.09242	0.07452	0.04908
ENSG00000013392.8	0.0883	0.07518	0.13849	0.08874	0.08807	0.09493	0.10529	0.08817	0.92821	0.12582	0.23358	0.10146	0.12062	0.08913	0.08734	0.1758	0.08632	0.08782	0.0867	0.08722	0.08803	0.10553	0.08654	0.08637	0.08692	0.08604	0.09376	0.1097	0.08824	0.08867	0.08748	0.20453	0.08984	0.08409	0.08835
ENSG00000020129.16	0.22833	0.7418	0.45732	0.57912	0.37252	0.31302	0.2493	0.26482	0.83982	0.12069	0.78819	0.06265	0.17629	0.34828	0.16988	0.0865	0.28458	0.16002	0.74999	0.74343	0.19386	0.46448	0.1979	0.67888	0.90446	0.74321	0.08462	0.1105	0.15427	0.19441	0.90642	0.70648	0.72385	0.15539	0.51502
ENSG00000026025.16	0.10378	0.09127	0.29655	0.39064	NA	0.10233	NA	0.42763	NA	NA	0.12604	0.50706	0.19978	NA	0.5523	NA	0.8838	NA	NA	0.56563	NA	0.09499	0.27419	NA	NA	0.26201	0.54949	0.24885	NA	0.56114	NA	NA	0.17845	0.34105	NA
ENSG00000033100.17	NA	0.08743	0.2926	0.55644	0.18379	0.26222	0.70932	0.17473	0.19595	NA	0.21336	0.53413	0.3748	0.31211	NA	0.33402	0.74043	NA	0.14838	0.3201	0.71865	0.07987	NA	0.28068	NA	NA	0.70755	0.21707	0.3525	0.08921	0.22189	0.26872	NA	0.31665	0.157
ENSG00000034510.6	0.07533	0.02631	0.03741	0.06767	0.04216	0.06707	0.06263	0.05937	0.44887	0.02686	0.01534	0.0598	0.05387	0.07091	0.02387	0.00971	0.05324	0.05248	0.03441	0.06684	0.07132	0.05187	0.03397	0.03974	0.0533	0.03435	0.02033	0.06312	0.02949	0.02246	0.03198	0.06712	0.05983	0.05525	0.05794
ENSG00000037042.9	0.06648	0.12765	NA	NA	0.29307	NA	NA	0.19568	NA	NA	0.25048	0.25363	NA	0.49281	0.42924	0.26812	0.37132	0.19024	0.22356	0.15768	0.15756	NA	NA	0.3415	0.78293	0.45522	0.16365	NA	0.2021	0.25081	0.09632	0.33314	NA	0.0963	0.31502
ENSG00000037757.14	0.54208	0.10053	0.06829	0.73716	0.01834	0.1089	0.14212	0.02554	0.5167	0.64246	0.23777	0.39351	0.15934	0.26932	0.05242	0.36054	0.0	0.7352	0.0827	0.15609	0.02035	0.66673	0.04093	0.80781	0.75708	0.04358	0.3339	0.04413	0.01837	0.2772	0.27656	0.05292	0.06809	0.08805	0.31885
ENSG00000039987.7	NA	0.56777	0.31218	0.75017	0.22682	0.28251	0.2458	0.07764	NA	0.47366	0.74452	0.36527	0.33051	0.43031	NA	0.56524	0.35683	NA	NA	0.14224	0.75153	0.09799	0.37172	0.13141	NA	0.52362	0.12541	NA	0.75636	0.09707	0.42409	NA	NA	0.33577	0.53863
ENSG00000041880.15	0.64516	NA	0.2516	0.46365	0.13859	0.57504	0.36107	0.03496	0.28535	0.8286	0.2003	0.32813	0.22797	0.34331	0.25645	0.23421	0.03326	0.22234	0.45377	0.66381	0.2588	0.27739	0.2556	0.13476	0.05905	0.32877	0.40384	NA	0.73393	0.01756	0.51736	0.6712	0.42417	0.2126	0.04264
ENSG00000043355.12	0.32073	NA	0.29207	NA	0.02572	0.07711	0.49785	0.21005	NA	NA	0.01685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.35532	0.37135	NA	NA	NA	NA	0.00661	NA	0.19733	NA	0.1701	0.21207	NA	0.16266
