Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_900
ENSG00000004059.11	91.63%	na	91.63%	91.63%	91.63%	na	91.63%	91.63%	na	91.63%	91.63%	na	91.63%	91.63%	na	91.63%	91.63%	na	na	91.63%	na	91.63%	91.63%	na	91.63%	91.63%	91.63%	91.63%	91.63%	91.63%	91.63%	91.63%	91.63%	na
ENSG00000005513.11	99.88%	na	99.88%	99.88%	na	na	na	99.88%	99.88%	99.88%	99.88%	99.88%	99.88%	na	na	na	99.88%	99.88%	na	99.88%	99.88%	na	99.88%	na	na	na	99.88%	99.90%	na	na	99.88%	99.88%	na	na
ENSG00000006015.18	99.96%	99.96%	99.96%	99.96%	99.96%	na	na	99.96%	99.96%	na	99.96%	99.96%	99.96%	99.96%	99.96%	99.96%	na	na	na	na	99.96%	99.96%	99.96%	na	99.96%	99.96%	na	99.96%	na	99.96%	99.96%	na	na	99.96%
ENSG00000006128.12	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	99.92%	na	na	na	99.92%	99.92%	99.92%	na	99.92%	na	99.92%	99.92%	na	99.92%	99.92%	na	na	99.92%	99.92%	99.92%	na	99.92%	na	na	na	99.92%
ENSG00000006327.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000006377.11	100.00%	100.00%	na	100.00%	na	100.00%	na	na	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	91.28%	100.00%	100.00%	91.28%	100.00%	na	na	na	na	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	100.00%
ENSG00000006659.13	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000011009.11	99.35%	99.35%	99.35%	99.35%	99.35%	na	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%	99.35%
ENSG00000013392.8	100.00%	99.89%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	99.88%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000020129.16	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	99.26%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000026025.16	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	na	100.00%	na	na	100.00%	na	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	na	98.11%	na	na	100.00%	na
ENSG00000033100.17	na	98.89%	98.89%	98.89%	98.89%	na	98.89%	98.89%	98.89%	na	98.89%	98.89%	98.89%	98.89%	na	98.89%	na	na	98.89%	98.89%	98.89%	98.89%	na	98.89%	na	na	98.89%	98.89%	98.89%	98.89%	98.89%	98.89%	na	98.89%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	100.00%	100.00%	na	na	100.00%	na	na	100.00%	na	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000037757.14	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%	99.70%
ENSG00000039987.7	na	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	100.00%	100.00%	100.00%	na	na	100.00%
