Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	87.50%	na	88.89%	100.00%	87.50%	na	87.50%	87.50%	na	100.00%	85.71%	na	100.00%	100.00%	na	87.50%	100.00%	na	na	85.71%	na	80.00%	100.00%	na	88.89%	75.00%	88.89%	85.71%	75.00%	88.89%	87.50%	85.71%	87.50%	na	na
ENSG00000005513.11	87.50%	na	na	85.71%	na	na	na	85.71%	85.71%	87.50%	na	87.50%	87.50%	na	na	na	87.50%	85.71%	na	85.71%	87.50%	na	87.50%	na	na	na	85.71%	85.71%	na	na	87.50%	85.71%	na	na	na
ENSG00000006015.18	100.00%	100.00%	na	100.00%	80.00%	na	na	na	100.00%	na	na	na	87.50%	na	100.00%	77.78%	na	na	na	na	70.00%	88.89%	na	na	100.00%	100.00%	na	77.78%	na	na	na	na	na	na	87.50%
ENSG00000006128.12	100.00%	na	83.33%	83.33%	83.33%	85.71%	100.00%	100.00%	100.00%	na	na	na	na	83.33%	83.33%	na	100.00%	na	83.33%	100.00%	na	100.00%	83.33%	na	na	83.33%	83.33%	100.00%	na	100.00%	na	na	na	100.00%	100.00%
ENSG00000006327.14	85.71%	85.71%	85.71%	85.71%	85.71%	na	85.71%	85.71%	85.71%	85.71%	85.71%	100.00%	85.71%	100.00%	100.00%	85.71%	85.71%	85.71%	100.00%	85.71%	85.71%	85.71%	100.00%	85.71%	85.71%	85.71%	85.71%	85.71%	85.71%	100.00%	85.71%	85.71%	85.71%	85.71%	85.71%
ENSG00000006377.11	75.00%	100.00%	na	75.00%	na	100.00%	na	na	75.00%	75.00%	100.00%	na	na	75.00%	75.00%	100.00%	100.00%	75.00%	100.00%	75.00%	na	na	na	na	75.00%	75.00%	100.00%	75.00%	na	na	na	100.00%	na	100.00%	100.00%
ENSG00000006659.13	75.00%	75.00%	75.00%	75.00%	75.00%	na	100.00%	100.00%	100.00%	75.00%	75.00%	100.00%	75.00%	100.00%	75.00%	75.00%	75.00%	75.00%	75.00%	100.00%	75.00%	75.00%	100.00%	75.00%	100.00%	75.00%	100.00%	100.00%	100.00%	75.00%	75.00%	75.00%	75.00%	na	75.00%
ENSG00000011009.11	54.55%	70.00%	70.00%	na	66.67%	na	na	72.73%	45.45%	50.00%	na	na	72.73%	63.64%	69.23%	75.00%	66.67%	72.73%	54.55%	63.64%	na	70.00%	na	58.33%	64.29%	71.43%	58.33%	54.55%	63.64%	50.00%	66.67%	61.54%	72.73%	63.64%	na
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000020129.16	80.00%	na	90.00%	90.91%	63.64%	na	87.50%	88.89%	88.89%	77.78%	90.00%	80.00%	100.00%	100.00%	75.00%	81.82%	90.00%	72.73%	na	77.78%	90.91%	75.00%	75.00%	87.50%	na	88.89%	80.00%	87.50%	88.89%	76.92%	na	87.50%	na	na	77.78%
ENSG00000026025.16	80.00%	78.57%	91.67%	na	na	na	na	92.31%	na	na	93.33%	100.00%	82.35%	na	78.57%	na	na	na	na	na	na	100.00%	na	na	na	91.67%	92.86%	91.67%	na	na	na	na	93.33%	na	na
ENSG00000033100.17	na	71.43%	81.82%	71.43%	76.92%	na	na	83.33%	75.00%	na	75.00%	84.62%	90.91%	na	na	na	75.00%	na	78.57%	83.33%	na	71.43%	na	81.82%	na	na	81.82%	83.33%	90.91%	na	na	83.33%	na	na	85.71%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	33.33%	85.71%	na	na	33.33%	na	na	71.43%	na	na	57.14%	75.00%	na	60.00%	60.00%	66.67%	75.00%	50.00%	50.00%	66.67%	62.50%	na	na	40.00%	80.00%	55.56%	71.43%	na	57.14%	na	71.43%	62.50%	na	55.56%	66.67%
ENSG00000037757.14	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	87.50%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000039987.7	na	83.33%	83.33%	100.00%	83.33%	na	83.33%	83.33%	na	83.33%	83.33%	66.67%	83.33%	100.00%	na	100.00%	83.33%	na	na	71.43%	83.33%	83.33%	71.43%	83.33%	na	83.33%	83.33%	na	100.00%	100.00%	83.33%	na	na	83.33%	83.33%
ENSG00000041880.15	92.31%	na	81.82%	83.33%	100.00%	90.91%	90.00%	100.00%	na	100.00%	90.00%	100.00%	90.00%	100.00%	100.00%	75.00%	100.00%	100.00%	100.00%	90.91%	81.82%	90.91%	90.00%	90.91%	76.92%	100.00%	100.00%	na	100.00%	na	90.00%	81.82%	81.82%	90.91%	83.33%
ENSG00000043355.12	na	na	na	na	75.00%	na	na	na	na	na	75.00%	na	na	na	na	na	na	na	na	na	na	100.00%	na	na	na	na	na	75.00%	na	na	na	100.00%	na	na	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	80.00%	100.00%	80.00%	na	80.00%	80.00%	100.00%	80.00%	80.00%	na	80.00%	80.00%	80.00%	100.00%	na	80.00%	80.00%	80.00%	80.00%	na	na	na	na	na	100.00%	80.00%	80.00%	80.00%	100.00%	na	100.00%	na	100.00%
ENSG00000053372.5	100.00%	na	na	na	100.00%	na	100.00%	100.00%	na	na	na	na	na	na	na	na	na	na	na	na	na	na	na	100.00%	na	na	100.00%	na	100.00%	na	na	na	na	na	100.00%
ENSG00000053438.11	83.33%	na	na	83.33%	na	na	na	na	na	83.33%	83.33%	na	83.33%	na	na	83.33%	83.33%	na	na	na	na	na	na	na	na	na	83.33%	83.33%	na	na	na	na	na	na	na
ENSG00000053501.14	81.82%	81.82%	72.73%	80.00%	na	na	81.82%	83.33%	80.00%	83.33%	90.91%	81.82%	83.33%	83.33%	72.73%	76.92%	81.82%	80.00%	90.00%	80.00%	80.00%	90.91%	83.33%	72.73%	90.00%	75.00%	81.82%	83.33%	83.33%	75.00%	72.73%	81.82%	75.00%	na	83.33%
ENSG00000054148.18	88.89%	77.78%	85.71%	75.00%	75.00%	88.89%	77.78%	na	88.89%	75.00%	71.43%	75.00%	na	85.71%	na	66.67%	85.71%	88.89%	80.00%	na	77.78%	77.78%	83.33%	na	88.89%	75.00%	87.50%	77.78%	na	na	75.00%	88.89%	75.00%	80.00%	77.78%
ENSG00000057757.10	100.00%	na	66.67%	83.33%	66.67%	na	83.33%	83.33%	100.00%	100.00%	80.00%	83.33%	83.33%	100.00%	100.00%	66.67%	100.00%	83.33%	83.33%	100.00%	100.00%	66.67%	83.33%	80.00%	80.00%	66.67%	83.33%	80.00%	66.67%	66.67%	80.00%	83.33%	66.67%	80.00%	83.33%
ENSG00000060491.17	60.00%	100.00%	80.00%	80.00%	60.00%	na	80.00%	100.00%	na	60.00%	100.00%	80.00%	80.00%	60.00%	100.00%	80.00%	80.00%	60.00%	80.00%	80.00%	80.00%	60.00%	80.00%	80.00%	100.00%	60.00%	80.00%	100.00%	60.00%	80.00%	100.00%	60.00%	80.00%	na	80.00%
ENSG00000061492.12	100.00%	87.50%	100.00%	100.00%	100.00%	na	85.71%	100.00%	100.00%	83.33%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	83.33%	100.00%	100.00%	100.00%	100.00%	83.33%	100.00%	na	87.50%	87.50%	100.00%	100.00%	87.50%	100.00%	100.00%	85.71%	na	na	100.00%
ENSG00000061656.11	61.54%	na	na	70.00%	92.86%	na	88.89%	77.78%	na	na	100.00%	80.00%	80.00%	100.00%	66.67%	80.00%	80.00%	100.00%	80.00%	75.00%	80.00%	80.00%	87.50%	na	100.00%	100.00%	87.50%	80.00%	100.00%	na	87.50%	100.00%	92.31%	na	90.91%
ENSG00000063322.15	85.71%	85.71%	85.71%	87.50%	85.71%	85.71%	85.71%	85.71%	87.50%	85.71%	85.71%	85.71%	85.71%	85.71%	85.71%	85.71%	87.50%	85.71%	85.71%	85.71%	85.71%	100.00%	na	85.71%	87.50%	85.71%	85.71%	85.71%	85.71%	85.71%	87.50%	85.71%	85.71%	85.71%	na
ENSG00000065518.8	100.00%	na	100.00%	100.00%	100.00%	na	na	na	na	na	na	na	100.00%	na	100.00%	na	100.00%	na	na	100.00%	na	na	na	na	na	na	na	100.00%	100.00%	na	100.00%	na	100.00%	100.00%	na
ENSG00000066379.15	85.71%	85.71%	85.71%	na	na	na	85.71%	na	87.50%	na	85.71%	85.71%	85.71%	85.71%	na	87.50%	na	77.78%	na	87.50%	87.50%	75.00%	87.50%	85.71%	85.71%	85.71%	85.71%	85.71%	85.71%	75.00%	85.71%	77.78%	87.50%	87.50%	88.89%
ENSG00000068079.8	100.00%	na	87.50%	na	na	na	100.00%	na	na	na	100.00%	88.89%	85.71%	87.50%	87.50%	100.00%	na	na	88.89%	na	90.91%	87.50%	85.71%	100.00%	na	87.50%	88.89%	85.71%	87.50%	87.50%	87.50%	85.71%	na	na	80.00%
ENSG00000069482.7	na	na	na	50.00%	50.00%	na	na	50.00%	na	na	na	50.00%	na	50.00%	na	na	50.00%	na	na	na	50.00%	50.00%	na	na	50.00%	na	50.00%	na	50.00%	50.00%	50.00%	50.00%	na	na	na
ENSG00000069696.7	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	na	na	na	100.00%	100.00%	na	na	100.00%	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%	100.00%	na	100.00%	na	na	100.00%
ENSG00000070388.12	na	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	na	100.00%	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	na	na	100.00%	na	na	100.00%	100.00%	100.00%	100.00%	na	na	100.00%
ENSG00000070404.10	100.00%	na	na	100.00%	100.00%	na	na	na	88.89%	75.00%	88.89%	na	87.50%	88.89%	na	na	88.89%	na	77.78%	na	na	na	na	na	100.00%	na	na	na	88.89%	na	na	100.00%	na	na	88.89%
ENSG00000071859.15	na	100.00%	100.00%	na	100.00%	na	85.71%	100.00%	na	87.50%	87.50%	na	88.89%	100.00%	na	100.00%	na	na	87.50%	90.91%	87.50%	87.50%	100.00%	87.50%	88.89%	88.89%	na	88.89%	100.00%	na	88.89%	na	na	na	90.00%
ENSG00000073067.14	66.67%	71.43%	87.50%	87.50%	75.00%	na	75.00%	71.43%	na	75.00%	62.50%	na	na	77.78%	71.43%	75.00%	66.67%	87.50%	85.71%	87.50%	87.50%	71.43%	na	na	66.67%	71.43%	75.00%	85.71%	75.00%	75.00%	na	66.67%	na	na	75.00%
ENSG00000073150.14	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	75.00%	100.00%	100.00%
ENSG00000073598.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000077009.14	71.43%	57.14%	57.14%	77.78%	62.50%	na	62.50%	57.14%	66.67%	62.50%	62.50%	71.43%	77.78%	66.67%	71.43%	75.00%	75.00%	57.14%	75.00%	57.14%	57.14%	62.50%	62.50%	66.67%	57.14%	62.50%	57.14%	77.78%	66.67%	na	62.50%	66.67%	57.14%	na	62.50%
