Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	90.33%	na	90.57%	97.53%	92.96%	na	92.96%	93.95%	na	96.85%	93.58%	na	92.52%	97.53%	na	90.55%	100.00%	na	na	92.68%	na	89.00%	97.53%	na	88.69%	90.49%	93.11%	93.55%	89.13%	94.67%	93.01%	92.68%	93.99%	na	na
ENSG00000005513.11	92.27%	na	na	92.41%	na	na	na	92.41%	92.40%	92.27%	na	92.28%	92.27%	na	na	na	92.28%	92.41%	na	92.41%	92.28%	na	92.26%	na	na	na	92.96%	92.41%	na	na	92.27%	92.41%	na	na	na
ENSG00000006015.18	96.87%	97.86%	na	95.84%	95.08%	na	na	na	99.96%	na	na	na	93.60%	na	97.82%	96.74%	na	na	na	na	93.00%	94.93%	na	na	96.87%	96.87%	na	93.06%	na	na	na	na	na	na	93.60%
ENSG00000006128.12	99.90%	na	93.03%	94.10%	93.03%	95.68%	99.49%	99.93%	99.93%	na	na	na	na	94.31%	94.10%	na	99.90%	na	93.03%	99.93%	na	99.93%	93.03%	na	na	94.10%	93.03%	99.93%	na	94.97%	na	na	na	99.93%	99.93%
ENSG00000006327.14	94.84%	98.02%	95.66%	95.66%	95.30%	na	98.02%	98.02%	98.02%	98.02%	98.02%	100.00%	95.30%	100.00%	100.00%	95.30%	98.02%	95.66%	100.00%	95.30%	98.02%	95.30%	100.00%	95.66%	98.02%	95.66%	95.66%	95.66%	95.66%	100.00%	95.66%	95.30%	98.02%	95.30%	97.97%
ENSG00000006377.11	88.53%	100.00%	na	88.53%	na	100.00%	na	na	88.53%	88.53%	100.00%	na	na	88.53%	88.53%	100.00%	100.00%	88.53%	100.00%	88.53%	na	na	na	na	88.53%	88.53%	100.00%	88.53%	na	na	na	100.00%	na	100.00%	100.00%
ENSG00000006659.13	88.10%	88.10%	89.42%	88.10%	89.42%	na	100.00%	93.65%	100.00%	88.10%	91.90%	93.53%	89.42%	100.00%	89.42%	88.10%	89.46%	88.10%	88.10%	100.00%	89.42%	89.42%	96.93%	88.10%	100.00%	89.42%	93.65%	92.82%	100.00%	92.40%	88.10%	91.90%	89.42%	na	88.10%
ENSG00000011009.11	95.09%	97.71%	97.49%	na	97.65%	na	na	96.23%	92.93%	96.39%	na	na	99.41%	96.63%	96.66%	99.19%	96.09%	96.18%	98.24%	96.06%	na	96.74%	na	97.28%	96.93%	97.04%	93.94%	96.06%	94.47%	96.75%	96.14%	96.05%	99.16%	97.04%	na
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000020129.16	93.74%	na	95.41%	94.15%	89.49%	na	96.65%	91.59%	95.30%	93.00%	91.55%	93.11%	97.03%	97.47%	90.86%	93.13%	94.25%	87.56%	na	92.04%	92.47%	87.78%	91.03%	92.84%	na	93.06%	93.43%	96.12%	95.08%	89.31%	na	96.07%	na	na	94.80%
ENSG00000026025.16	93.47%	90.99%	95.09%	na	na	na	na	94.87%	na	na	96.08%	98.26%	90.80%	na	94.17%	na	na	na	na	na	na	97.43%	na	na	na	96.11%	96.68%	95.19%	na	na	na	na	94.37%	na	na
ENSG00000033100.17	na	90.55%	95.36%	89.54%	90.02%	na	na	93.35%	95.08%	na	92.68%	94.91%	96.69%	na	na	na	93.72%	na	92.18%	92.14%	na	87.97%	na	93.62%	na	na	93.98%	93.70%	98.99%	na	na	92.13%	na	na	91.00%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	79.22%	98.73%	na	na	82.03%	na	na	94.14%	na	na	94.36%	93.27%	na	83.36%	89.27%	92.09%	93.40%	91.56%	94.99%	92.70%	85.82%	na	na	84.36%	94.92%	82.54%	92.91%	na	87.09%	na	92.99%	92.81%	na	81.61%	88.87%
ENSG00000037757.14	98.30%	99.74%	96.76%	97.65%	97.36%	99.77%	97.36%	99.82%	96.24%	97.36%	97.84%	97.36%	97.43%	98.44%	99.80%	96.98%	96.98%	na	97.21%	97.36%	97.65%	99.80%	95.78%	97.36%	97.65%	97.65%	98.27%	97.33%	98.08%	97.36%	97.83%	97.36%	97.65%	99.82%	99.77%
