Gene	sim_110_1050	sim_110_150	sim_110_300	sim_110_450	sim_110_600	sim_110_750	sim_110_900	sim_30_1050	sim_30_150	sim_30_300	sim_30_450	sim_30_600	sim_30_750	sim_30_900	sim_50_1050	sim_50_150	sim_50_300	sim_50_450	sim_50_600	sim_50_750	sim_50_900	sim_70_1050	sim_70_150	sim_70_300	sim_70_450	sim_70_600	sim_70_750	sim_70_900	sim_90_1050	sim_90_150	sim_90_300	sim_90_450	sim_90_600	sim_90_750	sim_90_900
ENSG00000004059.11	93.66%	na	95.34%	97.53%	94.76%	na	94.76%	92.47%	na	96.77%	93.58%	na	96.60%	97.53%	na	93.04%	99.64%	na	na	92.68%	na	92.94%	97.53%	na	92.83%	92.29%	98.14%	93.55%	92.73%	95.75%	91.48%	92.68%	95.74%	na	na
ENSG00000005513.11	93.02%	na	na	92.05%	na	na	na	92.05%	92.03%	93.01%	na	93.03%	93.02%	na	na	na	93.03%	92.05%	na	92.05%	93.03%	na	93.01%	na	na	na	92.60%	92.05%	na	na	93.03%	92.05%	na	na	na
ENSG00000006015.18	96.89%	97.88%	na	96.17%	93.90%	na	na	na	99.98%	na	na	na	93.62%	na	97.84%	92.01%	na	na	na	na	91.38%	93.26%	na	na	96.89%	96.89%	na	90.33%	na	na	na	na	na	na	93.62%
ENSG00000006128.12	99.25%	na	91.99%	93.53%	91.99%	94.01%	99.36%	99.36%	99.36%	na	na	na	na	93.21%	93.53%	na	99.25%	na	91.99%	99.36%	na	99.36%	91.99%	na	na	93.53%	91.99%	99.36%	na	94.39%	na	na	na	99.36%	99.36%
ENSG00000006327.14	89.24%	90.46%	91.40%	91.40%	96.37%	na	90.46%	93.87%	93.87%	90.46%	93.87%	100.00%	91.40%	100.00%	100.00%	96.37%	93.87%	93.03%	100.00%	96.37%	93.87%	96.37%	100.00%	91.40%	90.46%	93.03%	93.03%	91.40%	91.40%	100.00%	91.40%	97.01%	90.46%	97.01%	93.68%
ENSG00000006377.11	88.53%	100.00%	na	88.53%	na	100.00%	na	na	88.53%	88.53%	100.00%	na	na	88.53%	88.53%	100.00%	100.00%	88.53%	100.00%	88.53%	na	na	na	na	88.53%	88.53%	100.00%	88.53%	na	na	na	100.00%	na	100.00%	100.00%
ENSG00000006659.13	91.90%	91.90%	89.42%	91.90%	89.42%	na	100.00%	96.74%	100.00%	91.90%	88.10%	96.74%	89.42%	100.00%	89.42%	91.90%	89.46%	91.90%	91.90%	100.00%	89.42%	89.42%	97.83%	91.90%	100.00%	89.42%	96.74%	97.76%	100.00%	92.40%	91.90%	88.10%	89.42%	na	91.90%
ENSG00000011009.11	82.58%	87.57%	86.99%	na	84.46%	na	na	85.37%	78.78%	80.58%	na	na	87.99%	85.21%	85.75%	88.38%	85.54%	85.37%	80.20%	84.64%	na	86.25%	na	79.77%	82.57%	86.59%	82.15%	83.55%	82.87%	81.74%	85.70%	83.80%	89.22%	82.66%	na
ENSG00000013392.8	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%
ENSG00000020129.16	89.65%	na	95.00%	93.67%	82.24%	na	93.35%	92.44%	94.24%	88.40%	92.51%	89.23%	98.95%	98.27%	85.95%	90.15%	94.29%	85.48%	na	87.62%	93.21%	87.14%	87.70%	92.89%	na	93.57%	86.39%	93.63%	92.69%	86.79%	na	92.73%	na	na	88.82%
ENSG00000026025.16	88.74%	87.43%	93.54%	na	na	na	na	93.03%	na	na	95.14%	97.14%	90.60%	na	89.32%	na	na	na	na	na	na	99.05%	na	na	na	95.65%	94.39%	94.62%	na	na	na	na	95.73%	na	na
ENSG00000033100.17	na	86.28%	93.46%	84.97%	86.67%	na	na	90.04%	91.00%	na	87.86%	89.68%	94.56%	na	na	na	87.71%	na	92.15%	88.86%	na	83.76%	na	89.19%	na	na	89.55%	90.44%	94.56%	na	na	88.85%	na	na	88.69%
ENSG00000034510.6	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000037042.9	69.99%	85.65%	na	na	73.45%	na	na	85.47%	na	na	74.75%	81.12%	na	80.65%	71.66%	77.60%	81.14%	72.79%	70.58%	76.90%	78.94%	na	na	76.08%	76.48%	85.58%	85.68%	na	80.14%	na	85.55%	73.19%	na	79.97%	84.38%
ENSG00000037757.14	96.34%	97.36%	94.94%	95.55%	95.08%	97.49%	95.07%	97.74%	94.77%	95.06%	95.62%	94.98%	95.47%	96.40%	97.56%	94.60%	94.60%	na	94.84%	95.06%	95.42%	97.59%	93.92%	95.06%	95.44%	95.44%	96.06%	95.53%	95.83%	95.07%	95.55%	95.06%	95.40%	97.65%	97.45%
ENSG00000039987.7	na	92.27%	92.49%	99.49%	92.74%	na	92.03%	92.27%	na	92.27%	92.27%	88.32%	92.27%	99.02%	na	99.49%	92.03%	na	na	88.01%	92.74%	92.03%	88.61%	92.70%	na	92.48%	92.27%	na	99.02%	100.00%	92.46%	na	na	90.94%	92.70%
ENSG00000041880.15	94.50%	na	91.43%	90.19%	98.88%	94.85%	95.93%	98.88%	na	98.39%	95.15%	98.88%	95.64%	96.08%	97.75%	87.33%	98.88%	98.88%	98.39%	93.42%	90.17%	93.40%	95.64%	93.49%	87.66%	98.88%	98.88%	na	98.88%	na	95.30%	90.51%	90.82%	91.81%	90.88%
ENSG00000043355.12	na	na	na	na	87.18%	na	na	na	na	na	87.18%	na	na	na	na	na	na	na	na	na	na	100.00%	na	na	na	na	na	87.18%	na	na	na	100.00%	na	na	100.00%
ENSG00000044012.4	100.00%	100.00%	100.00%	100.00%	100.00%	na	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%
ENSG00000048462.11	na	na	90.61%	100.00%	88.80%	na	90.61%	90.61%	100.00%	88.78%	90.61%	na	88.80%	88.80%	88.80%	100.00%	na	88.78%	88.80%	88.78%	90.61%	na	na	na	na	na	100.00%	90.61%	90.61%	90.61%	100.00%	na	100.00%	na	100.00%
